ID	Duration	MinDuration	note	Usage	MaxCount	MaxDuration	CanBackup	MaxOverDraftCount	CanAccelerate	NeedSyncOB
1	5	5	仇杀的CD	13	1	5		0	0	0
2	5	5	纯阳_乌龟饲料	3	1	5	1	0	1	0
3	5	5	屠杀的CD	13	1	5		0	0	0
4	20	20	少林普渡棍法之拈花献佛CD	5	1	20	1	0	1	0
5	30	30	少林洗髓经佛光普照CD	5	1	30	1	0	1	0
6	30	30	少林易筋经金刚护体CD	5	1	30	1	0	1	0
7	2	2	NPC技能CD	12	1	2		0	0	0
8	0.5	0.5	江湖_普通攻击	11	1	0.5		0	1	0
9	30	30	非战斗状态立即恢复品CD	24	1	30		0	0	0
10	10	10	非战斗状态HOT恢复品CD	24	1	10		0	0	0
11	30	30	绷带CD	15	1	30		0	0	0
12	10	10	江湖_二段跳CD	11	1	10		0	1	0
13	10	10	加速	0	1	10		0	0	0
14	5	5	江湖_回风扫叶	11	1	5		0	1	0
15	15	15	新手特殊技能CD1	11	1	15		0	1	0
16	1.5	0	江湖_技能公共CD	11	1	3		0	0	0
17	20	20	新手特殊技能CD2	11	1	20		0	1	0
18	60	60	万花自封经脉技能CD	2	1	60	1	0	1	0
19	60	60	万花大小截穴技能CD	2	1	60	1	0	1	0
20	120	120	万花强化经脉技能	2	1	120	1	0	1	0
21	30	30	万花定身技能	2	1	30	1	0	1	1
22	15	15	万花点穴直接伤害	2	1	15	1	0	1	0
23	15	15	万花减速	2	1	15	1	0	1	0
35	2	2	道具CD1	13	1	2		0	0	0
36	75	75	少林_达摩武诀_舍身诀	5	1	75	1	0	1	1
37	300	300	少林_达摩武诀_轮回诀	5	1	300	0	0	1	1
38	20	20	少林_终结技_佛光初现	5	1	20	1	0	1	0
39	15	15	少林_终结技_恒河截沙	5	1	15	1	0	1	0
40	20	20	少林_袈裟伏魔功_五蕴皆空	5	1	20	1	0	1	0
41	30	30	少林_袈裟伏魔功_亦枯亦荣	5	1	30	1	0	1	0
42	20	20	少林_袈裟伏魔功_灵山施雨	5	1	20	1	0	1	0
43	15	15	少林_袈裟伏魔功_金刚怒目	5	1	15	1	0	1	0
44	30	30	少林_易筋经_易经锻骨	5	1	30	1	0	1	0
45	1.5	1	少林_龙爪手_拿云式	5	1	1.5	1	0	1	0
46	60	60	少林_达摩武诀_擒龙诀	5	1	60	1	0	1	1
47	80	80	少林_达摩武诀_无相诀	5	1	80	1	0	1	1
48	8	8	少林_龙爪手_抱残式	5	1	8	1	0	1	0
49	20	20	少林_龙爪手_捉影式	5	1	20	1	0	1	1
50	8	8	少林_龙爪手_守缺式	5	1	8	1	0	1	0
51	27	27	万花_养心决_星楼月影	2	1	27	1	0	1	1
52	60	60	万花_养心决_水月无间	2	1	60	1	0	1	1
53	45	45	万花_养心决_春泥护花	2	1	45	1	0	1	1
54	95	95	万花_养心决_碧水滔天	2	1	95	1	0	1	1
55	15	15	万花_真卿笔法_凌云难步	2	1	15	1	0	1	0
56	300	300	万花_素问_凝气诀	2	1	300	1	0	1	0
57	6	6	万花_真卿笔法_星楼望月	2	1	6	1	0	1	0
58	30	30	七秀_剑器浑脱_龙池乐	4	1	30	1	0	1	0
59	5	5	江湖_江湖功夫_进阶攻击	11	1	5		0	1	0
60	2	0	少林_罗汉棍法_普渡四方	5	1	4	1	0	1	0
61	20	20	少林_罗汉棍法_万佛朝宗	5	1	20	1	0	1	0
62	30	30	少林_易筋经_亦枯亦荣	5	1	30	1	0	1	0
63	60	60	少林_达摩武诀_锻骨诀	5	1	60	1	0	1	1
64	30	30	少林_袈裟伏魔功_袖纳乾坤	5	1	30	1	0	1	0
65	1	0	少林_罗汉棍法_韦陀献杵	5	1	2	1	0	1	0
66	30	30	少林_袈裟伏魔功_不动明王	5	1	30	1	0	1	0
67	15	15	少林_罗汉棍法_摩诃无量	5	1	15	1	0	1	1
68	1.5	1.5	少林_袈裟伏魔功_立地成佛	5	1	1.5	1	0	1	0
69	12	12	少林_罗汉棍法_横扫六合	5	1	12	1	0	1	1
70	30	30	少林_达摩武诀_佛心诀	5	1	30	1	0	1	0
71	6	6	少林_罗汉棍法_恒河劫沙	5	1	6	1	0	1	0
72	20	20	少林_袈裟伏魔功_罗汉金身	5	1	20	1	0	1	1
73	6	6	少林_龙爪手_捕风式	5	1	6	1	0	1	1
74	38	38	少林_袈裟伏魔功_大狮子吼	5	1	38	1	0	1	1
75	25	25	少林_龙爪手_抢珠式	5	1	25	1	0	1	1
76	1	1	医术公用CD	24	1	1		0	0	0
77	120	120	回血药品共用CD	24	1	120		0	0	0
78	120	120	回蓝药品共用CD	24	1	120		0	0	0
