ID	Name	UiID	RepresentDec	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	EquipCoolDownID	RecommendID	MaxStrengthLevel	CanApart	MapBanUseItemMask	IgnoreBindMask	CanExterior	BelongForceMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	BelongMap	_IsSpecialMagicType	RepairPriceRebate	AucMountRecommendMask	BelongSchoolMask
0	无效定制武器	1867	无	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	atInvalid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	——	通用	基础	未知	其他	0	无	无	0	0	1	0	0	7	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		67108863		0	1	0	0	0	6	0	2	1				0	8388607
1	金箍棒	13297		11	0			0	0	0	0	100	3	200	0							3	atMeleeWeaponDamageBase	10000	10000	atMeleeWeaponDamageRand	10000	10000	atMeleeWeaponAttackSpeedBase	27	27										0	0																													——	——	——	任务道具					1	1		1	1	7																					0							0							1			1		
100	石子	10025	　	0	0			0	13	6	0	15	3	200	0			1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid	0	0										0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务道具			石子					2	4	7																			1	0	0							0							1			1		
101	小石子	10026	　	0	0			0	13	6	0	15	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
102	大石子	10027	　	0	0			0	13	6	0	24	1	200	0		0	1		0		1	atRangeWeaponDamageBase	1	1	atRangeWeaponDamageRand	1	1	atInvalid												5	4											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店								2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
103	光滑的弹丸	10028	　	0	0			0	13	6	0	36	3	200	0		0	1		0		2	atRangeWeaponDamageBase	2	2	atRangeWeaponDamageRand	1	1	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
104	小弹丸	10029	　	0	0			0	13	6	0	51	1	200	0		0	1		0		1	atRangeWeaponDamageBase	2	2	atRangeWeaponDamageRand	2	2	atInvalid												5	13											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
105	丝帛弹囊	10030	　	0	0			0	13	6	0	54	3	200	0		0	1		0		2	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			暗器袋、暗器囊					2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
106	寒刺	10031	　	0	0			0	13	6	0	54	3	200	0		0	1		0		2	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
107	碎玉	10032	　	0	0			0	13	6	0	54	3	200	0		0	1		0		2	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
108	金翎刺	10033	　	0	0			0	13	6	0	54	3	200	0		0	1		0		2	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务				金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
109	绣银针	10034	　	0	0			0	13	6	0	54	3	200	0		0	1		0		2	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			钉子	银				2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
110	大弹丸	10035	　	0	0			0	13	6	0	60	1	200	0		0	1		0		1	atRangeWeaponDamageBase	3	3	atRangeWeaponDamageRand	2	2	atInvalid												5	16											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1		
111	飞雨	10036	　	0	0			0	13	6	0	69	3	200	0		0	1		0		2	atRangeWeaponDamageBase	4	4	atRangeWeaponDamageRand	3	3	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
112	千机子	10037	　	0	0			0	13	6	0	69	3	200	0		0	1		0		2	atRangeWeaponDamageBase	4	4	atRangeWeaponDamageRand	3	3	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
113	汗垢丸	10038	　	0	0			0	13	6	0	69	3	200	0		0	1		0		2	atRangeWeaponDamageBase	4	4	atRangeWeaponDamageRand	3	3	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1		
