ID	Name	UiID	ForceMask	2_1	2_2	2_3	2_4	3_1	3_2	3_3	3_4	4_1	4_2	4_3	4_4	5_1	5_2	5_3	5_4	6_1	6_2	6_3	6_4	7_1	7_2	7_3	7_4	8_1	8_2	8_3	8_4	9_1	9_2	9_3	9_4	10_1	10_2	10_3	10_4	11_1	11_2	11_3	11_4	12_1	12_2	12_3	12_4	13_1	13_2	13_3	13_4	14_1	14_2	14_3	14_4	15_1	15_2	15_3	15_4	16_1	16_2	16_3	16_4	17_1	17_2	17_3	17_4	18_1	18_2	18_3	18_4	19_1	19_2	19_3	19_4	20_1	20_2	20_3	20_4	21_1	21_2	21_3	21_4	22_1	22_2	22_3	22_4	23_1	23_2	23_3	23_4	24_1	24_2	24_3	24_4
0	默认	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	霜鳞	367	0	26412								26288																																																																																			
2	桀骜千夜·幻倩	9803	0	26439								26352								26317				0				0				0				0				0				0				0																																															
3	桀骜千夜·岐龙	9804	0	26439								26352								26317				0				0				0				0				0				0				0																																															
4	魂殇逆风·尘星	9805	0	26439								26424								26336				0				0				0				0				0				0				0																																															
5	魂殇逆风·凌霖	9806	0	26439								26424								26336				0				0				0				0				0				0				0																																															
6	浩气正宗·赫玮	9807	0	26439								26352								26317				0				0				0				0				0				0				0																																															
7	浩气正宗·辟罹	9808	0	26439								26352								26317				0				0				0				0				0				0				0																																															
8	清风明月·振彦	9809	0	26439								26424								26336				0				0				0				0				0				0				0																																															
9	清风明月·宇洛	9810	0	26439								26424								26336				0				0				0				0				0				0				0																																															
10	瀚海雄风·仙瑜	9811	0	26439								26337								26338				0				0				0				0				0				0				0																																															
11	瀚海雄风·雾涯	9801	0	26439								26337								26338				0				0				0				0				0				0				0																																															
12	少林套装1	9813	0	26274								26248								26245				0				0				0				0				0				0				0																																															
13	铁血丹心·彤恩	9814	0	26439								26337								26338				0				0				0				0				0				0				0																																															
14	剑纯阳套装1	9815	0	26274								26248								26252				0				0				0				0				0				0				0																																															
15	铁血丹心·怖皋	9816	0	26439								26337								26338				0				0				0				0				0				0				0																																															
16	气纯阳套装1	9817	0	26274								26248								26275				0				0				0				0				0				0				0																																															
17	雁虞·昊泽	9818	0	26298								26415								26385				0				0				0				0				0				0				0																																															
18	天策套装1	9819	0	26274								26248								26252				0				0				0				0				0				0				0																																															
19	雁虞·月伶	9820	0	26313								26385								26244				0				0				0				0				0				0				0																																															
20	七秀套装1	9821	0	26274								26248								26265				0				0				0				0				0				0				0																																															
21	剑茗·奢珥	9822	0	26432				26305				26415				26413				26460	30200			0				0				0				0				0				0				0																																															
22	万花套装1	9823	0	26274								26248								26275				0				0				0				0				0				0				0																																															
23	剑茗·祈廉	9824	0	26250				26295				26465				26426				26461				0				0				0				0				0				0				0																																															
24	S0.5_恶人谷_cyj	9825	0	26403								26352								26317				0				0				0				0				0				0				0																																															
25	S0.5_恶人谷_cyq	9826	0	26408								26352								26317				0				0				0				0				0				0				0																																															
26	S0.5_恶人谷_qxg	9827	0	26404								26352								26317				0				0				0				0				0				0				0																																															
27	S0.5_恶人谷_qxzl	9828	0	35516								26352								26317				0				0				0				0				0				0				0																																															
28	S0.5_恶人谷_Slg	9829	0	26405								26352								26317				0				0				0				0				0				0				0																																															
29	S0.5_恶人谷_tcg	9830	0	26406								26352								26317				0				0				0				0				0				0				0																																															
30	S0.5_恶人谷_whg	9831	0	26407								26352								26317				0				0				0				0				0				0				0																																															
31	S0.5_恶人谷_whzl	9832	0	26407								26352								26317				0				0				0				0				0				0				0																																															
32	三宿·蟾仙	9833	0	26385																				0				0				0				0				0				0				0																																															
33	三宿·玄蛇	9834	0	26385																				0				0				0				0				0				0				0																																															
34	七秀套装3	13309	0					26277																0				0				0				0				0				0				0																																															
35	天策套装3	13310	0					26238																0				0				0				0				0				0				0																																															
36	S0_恶人谷_cyj	13311	0	26403								26424								26336				0				0				0				0				0				0				0																																															
37	S0_恶人谷_cyq	13312	0	26408								26424								26336				0				0				0				0				0				0				0																																															
38	S0_恶人谷_qxg	13313	0	26404								26424								26336				0				0				0				0				0				0				0																																															
39	S0_恶人谷_qxzl	13314	0	35516								26424								26336				0				0				0				0				0				0				0																																															
40	S0_恶人谷_Slg	13315	0	26405								26424								26336				0				0				0				0				0				0				0																																															
41	S0_恶人谷_tcg	13316	0	26406								26424								26336				0				0				0				0				0				0				0																																															
42	S0_恶人谷_whg	13317	0	26407								26424								26336				0				0				0				0				0				0				0																																															
43	S0_恶人谷_whzl	13318	0	26407								26424								26336				0				0				0				0				0				0				0																																															
44	荻魂·蚩王	13319	0	26414				26415																0				0				0				0				0				0				0																																															
45	荻魂·娲皇	13320	0	26431				26365																0				0				0				0				0				0				0																																															
46	外功防御套装3	13321	0	26268																				0				0				0				0				0				0				0																																															
47	内功防御套装0.5	13473	0					26269																0				0				0				0				0				0				0																																															
48	逸侠	15469	0					26282																0				0				0				0				0				0				0																																															
49	刀宗武道·兵库	15470	0	26393								26421								26281				0				0				0				0				0				0				0																																															
50	刀宗武道·神无	15471	0	26394								26421								26281				0				0				0				0				0				0				0																																															
51	刀宗武道·落日	15472	0	26398								26421								26281				0				0				0				0				0				0				0																																															
52	刀宗武道·本莲	15473	0	26397								26421								26281				0				0				0				0				0				0				0																																															
53	刀宗武道·洛樱	15474	0	26395								26421								26281				0				0				0				0				0				0				0																																															
54	刀宗武道·初柳	15475	0	26396								26421								26281				0				0				0				0				0				0				0																																															
55	刀宗武道·飞瀑	15476	0	26399								26421								26281				0				0				0				0				0				0				0																																															
56	刀宗武道·琉璃	15477	0	26400								26421								26281				0				0				0				0				0				0				0																																															
57	昆仑墟藏·穆王	15479	0	26393								26421								26281				0				0				0				0				0				0				0																																															
58	昆仑墟藏·玉虚	15480	0	26394								26421								26281				0				0				0				0				0				0				0																																															
59	昆仑墟藏·断岳	15481	0	26398								26421								26281				0				0				0				0				0				0				0																																															
60	昆仑墟藏·化清	15482	0	26397								26421								26281				0				0				0				0				0				0				0																																															
61	昆仑墟藏·冬梅	15483	0	26395								26421								26281				0				0				0				0				0				0				0																																															
62	昆仑墟藏·寒月	15484	0	26396								26421								26281				0				0				0				0				0				0				0																																															
63	昆仑墟藏·离火	15485	0	26399								26421								26281				0				0				0				0				0				0				0																																															
64	昆仑墟藏·三阳	15486	0	26400								26421								26281				0				0				0				0				0				0				0																																															
65	S0.5_浩气盟_cyj	15743	0	26403								26352								26317				0				0				0				0				0				0				0																																															
66	S0.5_浩气盟_cyq	15744	0	26408								26352								26317				0				0				0				0				0				0				0																																															
67	S0.5_浩气盟_qxg	15745	0	26404								26352								26317																																																																											
68	S0.5_浩气盟_qxzl	15746	0	35516								26352								26317																																																																											
69	S0.5_浩气盟_slg	15747	0	26405								26352								26317																																																																											
70	S0.5_浩气盟_tcg	15748	0	26406								26352								26317																																																																											
71	S0.5_浩气盟_whg	15749	0	26407								26352								26317																																																																											
72	S0.5_浩气盟_whzl	15750	0	26407								26352								26317																																																																											
73	S0_浩气盟_cyj	15751	0	26403								26424								26336																																																																											
74	S0_浩气盟_cyq	15752	0	26408								26424								26336																																																																											
75	S0_浩气盟_qxg	15753	0	26404								26424								26336																																																																											
76	S0_浩气盟_qxzl	15754	0	35516								26424								26336																																																																											
77	S0_浩气盟_slg	15755	0	26405								26424								26336																																																																											
78	S0_浩气盟_tcg	15756	0	26406								26424								26336																																																																											
79	S0_浩气盟_whg	15757	0	26407								26424								26336																																																																											
80	S0_浩气盟_whzl	15758	0	26407								26424								26336																																																																											
81	T0_slg_h	15759	0	26298								26357								26385																																																																											
82	T0_qxg_h	15760	0	26298								26358								26385																																																																											
83	T0_whg_h	15761	0	26298								26362								26385																																																																											
84	T0_cyq_h	15762	0	26298								26359								26385																																																																											
85	T0_cyj_h	15763	0	26298								26360								26385																																																																											
86	T0_tcg_h	15764	0	26298								26361								26385																																																																											
87	T0_slf	15765	0	26298								26384								26273																																																																											
88	T0_qxzl	15766	0	26313								26385								26244																																																																											
89	T0_whzl	15767	0	26313								26385								26244																																																																											
90	T0_cyq_e	15768	0	26280								26359								26369																																																																											
