BuffID	Level	IconID	Sparking	ShowTime	Show	Remark	Name	Desc	IsAddPeriod
0	0	0	1	1	1	(0)(0)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1
1	0	0	1	1	1	(1)(0)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1
5	1	0	1	1	1	(5)(1)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1
5	2	0	1	1	1	(5)(2)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1
101	1	0	1	1	1	(101)(1)策划默认项(非程序默认行)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1
102	1	8	1	1	1	(102)(1)	金钟护体	反弹三成外功伤害	1
103	1	533	0	0	1	(103)(1)打坐	调息	真气在经脉中运行，元气迅速得到恢复	1
104	1	22	1	1	1	(104)(1)浮身	浮身	自己变轻了，可以跳得更高	1
105	1	22	1	1	1	(105)(1)	踏云	可以在空中跳跃两次	1
106	1	532	1	1	1	(106)(1)加速	神行	移动速度提高100%	1
107	1	17	1	1	1	(107)(1)力量提升	力量提升	力量提高10点	1
108	1	17	1	1	1	(108)(1)使NPC无法发现自己	遁影	遁形于影，周围的人不能察觉到你	1
109	1	16	1	1	1	(109)(1)调整NPC警戒范围	平静	疏于戒备	1
110	1	22	1	1	1	(110)(1)修改NPC警戒范围	安抚心灵	使敌对生物对自己的警戒范围变小	1
112	0	414	1	1	1	(112)(0)清心静气	清心静气	基础气血最大值提高<BUFF atMaxLifeAdditional>点	1
112	1	414	1	1	1	(112)(1)清心静气	清心静气	基础气血最大值提高1.5%	1
112	2	414	1	1	1	(112)(2)清心静气	清心静气	基础气血最大值提高2%	1
112	3	414	1	1	1	(112)(3)清心静气	清心静气	基础气血最大值提高2.5%	1
112	4	414	1	1	1	(112)(4)清心静气	清心静气	基础气血最大值提高3%	1
112	5	414	1	1	1	(112)(5)清心静气	清心静气	基础气血最大值提高3.5%	1
112	6	414	1	1	1	(112)(6)清心静气	清心静气	基础气血最大值提高4%	1
112	7	414	1	1	1	(112)(7)清心静气	清心静气	基础气血最大值提高4.5%	1
112	8	414	1	1	1	(112)(8)清心静气	清心静气	基础气血最大值提高5%	1
113	1	1525	1	1	1	(113)(1)碧水滔天	碧水滔天	每秒恢复内力最大值的6%	1
113	2	1525	1	1	1	(113)(2)碧水滔天	碧水滔天	每秒恢复内力及气血最大值的6%	1
115	1	338	1	1	1	(115)(1)等待时间	等待时间	等待对方移动棋子	1
116	1	16	1	1	1	(116)(1)	摆摊	摆摊叫卖	1
117	0	429	0	0	1	(117)(0)	不动莲华阵第一重	体质提高<BUFF atVitalityBase>点	1
121	1	1490	1	1	1	(121)(1)升天	升天	正在升天	1
122	1	413	1	1	1	(122)(1)春泥护花	春泥护花	使其受到伤害降低28%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	2	413	1	1	1	(122)(2)春泥护花	春泥护花	使其受到伤害降低30%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	3	413	1	1	1	(122)(3)春泥护花	春泥护花	使其受到伤害降低32%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	4	413	1	1	1	(122)(4)春泥护花	春泥护花	使其受到伤害降低34%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	5	413	1	1	1	(122)(5)春泥护花	春泥护花	使其受到伤害降低36%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	6	413	1	1	1	(122)(6)春泥护花	春泥护花	使其受到伤害降低38%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
122	7	413	1	1	1	(122)(7)春泥护花	春泥护花	使其受到伤害降低45%，被攻击则消耗一层，每消耗一层则回复3%气血值	1
124	1	407	1	1	1	(124)(1)花语酥心	花语酥心	每秒恢复气血最大值的6%	1
126	1	1521	1	1	1	(126)(1)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
126	2	1521	1	1	1	(126)(2)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
126	3	1521	1	1	1	(126)(3)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
126	4	1521	1	1	1	(126)(4)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
126	5	1521	1	1	1	(126)(5)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
126	6	1521	1	1	1	(126)(6)毫针	毫针	外功防御等级提高<BUFF atPhysicsShieldBase>，被攻击则去掉一层并恢复<Skill 5798 0 4%><Skill 5798 1 6%>最大气血值	1
130	1	1491	1	1	1	(130)(1)缓落	缓落	下落速度减缓	1
131	1	613	0	1	1	(131)(1)剑冲阴阳	剑冲阴阳	每次近身攻击有30%几率使目标被疗伤成效降低50%，并受到“天地无极”更高的伤害，持续12秒	1
132	1	607	1	1	1	(132)(1)玄一无相	玄一无相	每次近身攻击有30%几率使目标移动速度降低60%，并受到“天地无极”更高的伤害，持续12秒	1
133	1	609	1	1	1	(133)(1)	一剑镇山河	每次攻击附加使目标对阳性内功伤害抵抗系数减少10%效果	1
133	2	609	1	1	1	(133)(2)	一剑镇山河	每次攻击附加使目标对阳性内功伤害抵抗系数减少12%效果	1
133	3	609	1	1	1	(133)(3)	一剑镇山河	每次攻击附加使目标对阳性内功伤害抵抗系数减少15%效果	1
133	4	609	1	1	1	(133)(4)	一剑镇山河	每次攻击附加使目标对阳性内功伤害抵抗系数减少18%效果	1
133	5	609	1	1	1	(133)(5)	一剑镇山河	每次攻击附加使目标对阳性内功伤害抵抗系数减少20%效果	1
134	0	620	1	1	1	(134)(0)坐忘无我	坐忘无我	化解自身受到的伤害，根骨越高，化解量越大	1
136	0	611	1	1	1	(136)(0)吐故纳新	吐故纳新	反击外功攻击，被外功伤害招式命中后有15%几率将攻击者锁足3秒	1
139	0	622	1	1	1	(139)(0)扶摇直上	梯云纵	下一次跳跃能跳得更高	1
142	0	19	1	0	1	(142)(0)嗜血	嗜血	外功攻击力提高<BUFF atPhysicsAttackPowerBase>点	1
143	1	16	1	1	1	(143)(1)忍术·荒武刀	忍术·荒武刀	提高自身闪避率，每次成功闪避攻击后对目标进行一次强力反击	1
144	1	656	1	1	1	(144)(1)绝望怒吼	绝望怒吼	进入狂暴状态，伤害加强、攻击速度加快	1
145	1	16	1	1	1	(145)(1)龟缩术	龟缩术	使自身的防御力上升，受到的外功伤害大幅降低	1
146	1	16	1	1	1	(146)(1)机甲狂潮	机甲狂潮	攻击速度提高	1
147	1	21	1	1	1	(147)(1)	解毒药	你受到内功护体，不会受到盗墓贼的毒药影响	1
148	0	80	1	1	1	(148)(0)跳远3	韦陀心法	施展本心法，劲力大增，可以跳得更远	1
149	1	11	1	1	1	(149)(1)九牛二虎之力	九牛二虎之力	你感到力大无穷	1
150	1	253	1	1	1	(150)(1)纯阳含真散	纯阳含真散	气血最大值提高<BUFF atMaxLifeAdditional>点	1
151	1	254	1	1	1	(151)(1)纯阳清心散	纯阳清心散	元气提高<BUFF atSpunkBase>点	1
152	1	253	1	1	1	(152)(1)纯阳冲虚散	纯阳冲虚散	内功会心等级提高<BUFF atSolarCriticalStrike>点，体质降低<BUFF atVitalityBase>点	1
153	1	253	1	1	1	(153)(1)纯阳化元丹	纯阳化元丹	力道提高<BUFF atStrengthBase>点	1
154	1	257	1	1	1	(154)(1)纯阳御真丹	纯阳御真丹	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
155	1	253	1	1	1	(155)(1)纯阳侵机散	纯阳侵机散	体质降低<BUFF atVitalityBase>点，元气提高<BUFF atSpunkBase>点	1
156	1	254	1	1	1	(156)(1)纯阳聚神丹	纯阳聚神丹	内功攻击提高<BUFF atMagicAttackPowerBase>点	1
157	1	252	1	1	1	(157)(1)纯阳益智丹	纯阳益智丹	元气提高<BUFF atSpunkBase>点	1
160	1	344	0	0	0	(160)(1)无敌	无敌	无敌	1
162	1	105	1	1	1	(162)(1)莹流茶	莹流茶	内力最大值提高26点	1
163	1	105	1	1	1	(163)(1)倾流茶	倾流茶	气血最大值提高23点	1
166	1	368	1	1	1	(166)(1)洛道换装1-变僵尸	易容	易容成唐简	1
166	2	368	1	1	1	(166)(2)洛道换装2-变叛军	易容	易容成叛军	1
166	3	368	1	1	1	(166)(3)洛道换装1-变叛军	易容	易容成叛军	1
166	4	368	1	1	1	(166)(4)洛道换装1-变神策军	易容	易容成神策军	1
166	5	368	1	1	1	(166)(5)洛道换装1-变叛军	易容	易容成叛军	1
166	6	368	1	1	1	(166)(6)洛道换装1-变叛军	易容	易容成叛军	1
167	1	368	1	1	1	(167)(1)换装	伪装	这模子真丑陋	1
167	2	368	1	1	1	(167)(2)换装	伪装	这模子更丑陋	1
167	3	368	1	1	1	(167)(3)换装	伪装	这模子更丑陋	1
168	0	339	1	0	1	(168)(0)杀红眼	杀红眼	充满杀气，所有外功攻击力提高25%	1
169	0	339	1	0	1	(169)(0)顽抗	顽抗	激烈反抗，外功攻击力提高<BUFF atPhysicsShieldAdditional>点，外功防御等级降低<BUFF atPhysicsShieldAdditional>点	1
170	0	339	1	0	1	(170)(0)心法·善思	心法·善思	刺激身体穴位，体质提高<BUFF atVitalityBase>点	1
171	0	339	1	0	1	(171)(0)忍术·激气	忍术·激气	忍术，外功攻击提高<BUFF atPhysicsAttackPowerBase>点	1
172	0	339	1	0	1	(172)(0)忍术·秘体	忍术·秘体	忍术，力道提高<BUFF atStrengthBase>点	1
173	0	339	1	0	1	(173)(0)神杀令·狂	神杀令·狂	神杀令，外功基础攻击提高30%	1
174	0	339	1	0	1	(174)(0)神杀令·狠	神杀令·狠	神杀令，体质提高<BUFF atVitalityBase>点	1
175	0	339	1	0	1	(175)(0)狂野	狂野	充满狂野的怒火，外功攻击提高<BUFF atPhysicsAttackPowerBase>点	1
176	0	339	1	0	1	(176)(0)坚硬	坚硬	坚硬的外壳，减免受到的伤害	1
177	0	339	1	0	1	(177)(0)龟缩	龟缩术	躲在硬壳中，化解<BUFF atGlobalDamageAbsorb>点伤害	1
178	0	339	1	0	1	(178)(0)空手肉搏	空手肉搏	肉搏，外功攻击力提高<BUFF atPhysicsAttackPowerBase>点，外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
179	0	339	1	0	1	(179)(0)牢不可破	牢不可破	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
180	0	339	1	0	1	(180)(0)强体	强体	体质提高<BUFF atVitalityBase>点	1
181	0	339	1	0	1	(181)(0)鼠头鼠脑	鼠头鼠脑	闪避等级提高<BUFF atDodge>点	1
182	0	339	1	0	1	(182)(0)贼眉鼠眼	贼眉鼠眼	身法提高<BUFF atAgilityBase>点	1
183	0	339	1	0	1	(183)(0)蝠翼	蝠翼	闪避等级提高<BUFF atDodge>点	1
184	0	339	1	0	1	(184)(0)见钱眼开	见钱眼开	力道提高<BUFF atStrengthBase>点	1
185	0	339	1	0	1	(185)(0)铜尸变	铜尸变	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
186	0	339	1	0	1	(186)(0)刚力	刚力	力道提高<BUFF atStrengthBase>点	1
187	0	339	1	0	1	(187)(0)铜墙	铜墙	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
188	0	339	1	0	1	(188)(0)暴动	暴动	外功攻击力提高<BUFF atPhysicsAttackPowerBase>点	1
189	0	339	1	0	1	(189)(0)随风狂舞诀	随风狂舞诀	身法提高<BUFF atAgilityBase>点	1
190	0	339	1	0	1	(190)(0)铁布衫	铁布衫	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
191	0	339	1	0	1	(191)(0)五蕴皆空	蕴空	力道提高<BUFF atStrengthBase>点	1
192	0	339	1	0	1	(192)(0)五行术·木灵	五行术·木灵	体质提高<BUFF atVitalityBase>点	1
193	1	339	1	0	1	(193)(1)五行术·土盾	五行术·土盾	受到的伤害减免5%	1
193	2	339	1	0	1	(193)(2)五行术·土盾	五行术·土盾	受到的伤害减免10%	1
193	3	339	1	0	1	(193)(3)五行术·土盾	五行术·土盾	受到的伤害减免15%	1
193	4	339	1	0	1	(193)(4)五行术·土盾	五行术·土盾	受到的伤害减免20%	1
193	5	339	1	0	1	(193)(5)五行术·土盾	五行术·土盾	受到的伤害减免25%	1
193	6	339	1	0	1	(193)(6)五行术·土盾	五行术·土盾	受到的伤害减免30%	1
193	7	339	1	0	1	(193)(7)五行术·土盾	五行术·土盾	受到的伤害减免35%	1
193	8	339	1	0	1	(193)(8)五行术·土盾	五行术·土盾	受到的伤害减免40%	1
193	9	339	1	0	1	(193)(9)五行术·土盾	五行术·土盾	受到的伤害减免45%	1
193	10	339	1	0	1	(193)(10)五行术·土盾	五行术·土盾	受到的伤害减免50%	1
193	11	339	1	0	1	(193)(11)五行术·土盾	五行术·土盾	受到的伤害减免55%	1
193	12	339	1	0	1	(193)(12)五行术·土盾	五行术·土盾	受到的伤害减免60%	1
193	13	339	1	0	1	(193)(13)五行术·土盾	五行术·土盾	受到的伤害减免65%	1
193	14	339	1	0	1	(193)(14)五行术·土盾	五行术·土盾	受到的伤害减免70%	1
193	15	339	1	0	1	(193)(15)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
193	16	339	1	0	1	(193)(16)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
193	17	339	1	0	1	(193)(17)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
193	18	339	1	0	1	(193)(18)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
193	19	339	1	0	1	(193)(19)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
193	20	339	1	0	1	(193)(20)五行术·土盾	五行术·土盾	受到的伤害减免75%	1
194	0	339	1	0	1	(194)(0)心法·善言	心法·善言	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
195	0	393	0	0	1	(195)(0)千斤坠	千斤坠	蓄力中……落地时造成伤害	1
196	0	635	1	1	1	(196)(0)天策-憾如雷-铁牢律	铁牢撼如雷	气血最大值提高<BUFF atMaxLifeBase>点	1
197	0	655	0	0	0	(197)(0)天策-傲血战意-致伤需求标志	疾如风	外功攻击提高<BUFF atPhysicsAttackPowerBase>点，使穿云附带致伤效果	1
198	1	653	1	1	1	(198)(1)天策-徐如林	徐如林	天策府秘传武技，在自己的外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复1%	1
198	2	653	1	1	1	(198)(2)天策-徐如林	徐如林	天策府秘传武技，在自己的外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复2%	1
198	3	653	1	1	1	(198)(3)天策-徐如林	徐如林	天策府秘传武技，在自己的外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复3%	1
198	4	653	1	1	1	(198)(4)天策-徐如林	徐如林	天策府秘传武技，在自己的外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复4%	1
198	5	653	1	1	1	(198)(5)天策-徐如林	徐如林	天策府秘传武技，在自己的外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复5%	1
199	1	654	1	1	1	(199)(1)天策-掠如火	掠如火	使自身攻击造成额外75%的威胁	1
199	2	654	1	1	1	(199)(2)天策-掠如火	掠如火	使自身攻击造成额外80%的威胁	1
199	3	654	1	1	1	(199)(3)天策-掠如火	掠如火	使自身攻击造成额外85%的威胁	1
199	4	654	1	1	1	(199)(4)天策-掠如火	掠如火	使自身攻击造成额外90%的威胁	1
199	5	654	1	1	1	(199)(5)天策-掠如火	掠如火	使自身攻击造成额外95%的威胁	1
199	6	654	1	1	1	(199)(6)天策-掠如火	掠如火	使自身攻击造成额外100%的威胁	1
200	0	656	1	1	1	(200)(0)天策-疾如风	疾如风	使自身招式伤害提高<BUFF atSkillPhysicsDamage>点，外功会心几率提高10%	1
201	0	652	0	0	0	(201)(0)天策-铁牢律-坚韧	坚韧	提高外功防御等级<BUFF atPhysicsShieldBase>点、闪避等级<BUFF atDodgeBase>点，被击5次后触发坚韧效果	1
202	1	2993	1	1	1	(202)(1)天策-铁牢律-坚韧	坚韧	每层使自身受到的伤害降低1%	1
203	1	1457	1	1	1	(203)(1)天策-啸如虎-傲血战意	啸如虎	受到疗伤成效提高2%，不会重伤	1
203	2	1457	1	1	1	(203)(2)天策-啸如虎-傲血战意	啸如虎	受到疗伤成效提高4%，不会重伤	1
203	3	1457	1	1	1	(203)(3)天策-啸如虎-傲血战意	啸如虎	受到疗伤成效提高6%，不会重伤	1
203	4	1457	1	1	1	(203)(4)天策-啸如虎-傲血战意	啸如虎	受到疗伤成效提高8%，不会重伤	1
203	5	1457	1	1	1	(203)(5)天策-啸如虎-傲血战意	啸如虎	受到疗伤成效提高20%，不会重伤	1
204	0	641	1	1	1	(204)(0)天策-御奔突	飞遁	骑乘速度提高50%	1
204	2	641	1	1	1	(204)(2)天策-御奔突	御奔突	骑乘速度提高35%	1
204	3	641	1	1	1	(204)(3)天策-御奔突	御奔突	骑乘速度提高40%	1
204	4	641	1	1	1	(204)(4)天策-御奔突	御奔突	骑乘速度提高45%	1
205	1	337	0	0	1	(205)(1)无敌BUFF	无敌	无敌	1
206	1	642	1	1	1	(206)(1)天策-断魂刺-追魂(准备移除)	断魂刺-追魂	春风剪和穿云附带额外外功伤害	1
207	1	638	0	0	0	(207)(1)天策-施放-突	突	突	1
208	1	622	1	1	1	(208)(1)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	2	622	1	1	1	(208)(2)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	3	622	1	1	1	(208)(3)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	4	622	1	1	1	(208)(4)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	5	622	1	1	1	(208)(5)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	6	622	1	1	1	(208)(6)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	7	622	1	1	1	(208)(7)扶摇直上	弹跳	下一次跳跃将跳得更高	1
208	8	622	1	1	1	(208)(8)扶摇直上	弹跳	下一次跳跃将跳得更高，并且能在跳高基础上使用轻功踏云	1
208	9	622	1	1	1	(208)(9)扶摇直上	弹跳	下一次跳跃将跳得更高，并且能在跳高基础上使用轻功踏云	1
208	10	622	1	1	1	(208)(10)扶摇直上	弹跳	下一次跳跃将跳得更高，并且能在跳高基础上使用轻功踏云	1
208	11	622	1	1	1	(208)(11)扶摇直上	弹跳	下一次跳跃将跳得更高，并且能在跳高基础上使用轻功踏云	1
210	1	1485	0	0	1	(210)(1)隐身	隐身	无法被他人察觉	1
211	0	360	1	1	1	(211)(0)鸳鸯煎牛筋	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
211	1	360	1	1	1	(211)(1)油炸肉条	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点，气血最大值提高<BUFF atMaxLifeBase>点	1
211	2	360	1	1	1	(211)(2)没有熟的腰花	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
211	3	360	1	1	1	(211)(3)萝卜瘦肉汤	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点，气血最大值提高<BUFF atMaxLifeBase>点	1
211	4	360	1	1	1	(211)(4)酱爆腰花	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点，气血最大值提高<BUFF atMaxLifeBase>点	1
211	5	360	1	1	1	(211)(5)老火萝卜瘦肉汤	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
211	6	360	1	1	1	(211)(6)鸳鸯煎牛筋	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
212	0	360	1	1	1	(212)(0)炸糊了的肉条	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
212	1	360	1	1	1	(212)(1)炸糊了的肉条	进食	外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
213	1	915	1	1	1	(213)(1)迅影	迅影	移动速度提高40%	1
213	2	915	1	1	1	(213)(2)迅影	迅影	移动速度提高45%	1
213	3	915	1	1	1	(213)(3)迅影	迅影	移动速度提高50%	1
213	4	915	1	1	1	(213)(4)迅影	迅影	移动速度提高55%	1
213	5	915	1	1	1	(213)(5)迅影	迅影	移动速度提高55%，受到的“锁足”“定身”“眩晕”“击倒”控制效果持续时间降低20%	1
218	1	360	1	1	1	(218)(1)昆仑禁食	进食	气血上限提高<BUFF atMaxLifeAdditional>点，拆招值提高<BUFF atParryBase>点，招架等级提高<BUFF atParryValueBase>点，外功防御等级提高<BUFF atPhysicsShieldAdditional>点	1
