ID	Name	Useage	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InParkour	InSlideSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	InBirdMove	CanTransfer	CostSingleStack	MorphInvalid	ValidByLevel	RLActions	Coexist
101	策划默认项(非程序默认行)	0	Normal	Body	0	101	0	Invalid	1	1	0	1	1	0	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0	0	0	Any	Any	Any	Any		0		0		63	1	0	1	0	1	Any						
70002	突_到点施放击倒	406	Normal	Body	0	207	0	Invalid	1	1	0	1	1	32	1	1	0	None	Any	Any	Any	0		0	0	1	atExecuteScript	skill_mobile/天策/移动端_傲血战意_子技能/移动端_突_到点调用击倒段.lua	0																																																								-1	1405485056		0			Any	Any	Any	Any				32		60	1	32	1	0	1	Any						
70003	突_移除缓冲动作	406	Normal	Trample	54034	12297	0	Invalid	1	1	0	1	1	32	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0			Any	Any	Any	Any				32		63	1	32	1	0	1	Any						
70004	突_记录目标ID	406	Normal	Body	0	16214	0	Invalid	1	1	0	1	1	80	0	1	1	None	Any	Any	Any	0		1	0	0																																																											-1	4294967294	0	0	0	0	Any	Any	Any	Any		0		80		63	1	80	1	0	1	Any						
70005	上元点鬟	405	Normal	Body	0	681	7	Invalid	1	1	0	1	6	48	0	0	1	None	Any	Any	Any	0		0	0	1																																														atCallTherapy	20	0				atCallTherapy	500						-1	3758030846		0			Any	Any	Any	Any				1		63	1	48	1	1	1	Any						
70006	霹雳减疗效果	406	Normal	Body	0	576	0	Invalid	1	50	0	1	1	16	0	1	1	None	Any	Any	Any	0		1	0	0	atBeTherapyCoefficient	-512																																																									-1	3758030846	0	0			Any	Any	Any	Any				16		63	1	16	1	0	1	Any	1					
70007	上元点鬟_结束治疗	405	Normal	Body	0	3830	0	Invalid	1	1	0	1	31	8	0	0	1	None	Any	Any	Any	0		1	0	1																																																				atCallTherapy	346						-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	8	1	0	1	Any						
70011	天地低昂_减伤效果	405		TopHead		122	7		1	40	0	1	1	16	0	1	1							1	0	1	atGlobalResistPercent	410	0																																																									3757998078												16		63	1	16	1	1	1						26	
70012	名动四方_剑舞	405	Normal	Body	0	70012	0	Invalid	1	1	0	1	1	0	0	1	0	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0	0	0	Any	Any	Any	Any		0		0		63	1	0	1	0	1	Any			0			
70013	名动四方_剑舞表现	405		Trample	62022	12382	52		1	27	0	1	1	0	0	1	0			NotHorse				0	0	1																																																												3757998078					NotInSprint			NotInFollow				0		63	1	0	1	0	1						20	
70014	移动端_帝骖龙翔_定身控制	405	Halt	Trample		4	10		1	32	0	1	1	64	0	1	1							1	0	0	atFreeze																																																										2	1405100032												64		60	1	64	1	0	1							
70016	浴火战衣	0	Damage	Trample	10008	693	0	Invalid	1	1	0	1	1000	16	0	1	1	None	Any	Any	Any	0		0	0	1																																														atCastSkillTargetDst	100369	1											-1	3556704254		0			Any	Any	Any	Any				16		60	1	16	1	0	1	Any						
70017	星楼月影	402		Body	0	1903	0		1	64	0	1	1	48	0	1	1							0	0	1	atSetNextBuffCount	6		atCallSubBuff	70716	1																																																						3758030846												48		63	1	48	1	0	1						29	
70018	春泥护花	402		TopHead	0	70018	5		1	1	1	8	1	320	0	1	0							1	0	1	atSkillEventHandler	9012		atSetNextBuffCount	40		atCallSubBuff	70169	50																																																	1		3757998078												320		63	1	320	1	1	1						28	
70018	春泥护花	402		TopHead	0	70018	5		2	2	1	8	1	320	0	1	0							1	0	1	atSkillEventHandler	9012		atSetNextBuffCount	40		atCallSubBuff	70169	50	atAllDamageAddPercent	102																																															1		3757998078												320		63	1	320	1	1	1						28	
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	1	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	12												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	2	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	13												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	3	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	14												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	4	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	15												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	5	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	16												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	6	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	17												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	7	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	18												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	8	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	19												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	9	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	20												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	10	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	21												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	11	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	22												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	12	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	24												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	13	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	26												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	14	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	28												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	15	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	30												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	16	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	32												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	17	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	34												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	18	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	36												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	19	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	38												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	20	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	40												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	21	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	42												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	22	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	44												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	23	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	46												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	24	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	48												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	25	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	50												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	26	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	52												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	27	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	54												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
70019	流血Dot_2层	406	Damage	Body	0	3442	0	Invalid	28	1	1	2	7	32	0	0	1	None	Any	Any	Any	0		1	0	0																																														atCallPhysicsDamage	56												-1	3758030846	0	0	0	0	Any	Any	Any	Any				1		63	1	32	1	0	1	Any	1					
