BuffID	Level	IconID	Sparking	ShowTime	Show	Remark	Name	Desc	IsAddPeriod	TypeIconID
0	0	0	1	1	1	(0)(0)	Buff=1，Debuff=2，Dot=3，Hot=4	BuffType取值	1	
70005	1	913	1	1	1	(70005)(1)上元点鬟	上元点鬟·悟	每3秒恢复1次气血值，并在效果完结时额外恢复气血值	1	2
70006	1	2986	1	1	1	(70006)(1)霹雳减疗效果	霹雳	受到的疗伤效果降低50%	1	7
70011	1	1498	1	1	1	(70011)(1)天地低昂_减伤效果	天地低昂·悟	受到伤害降低40%	1	2
70012	1	1492	1	0	0	(70012)(1)名动四方_剑舞	剑舞	进入剑舞状态	1	
70014	1	1499	1	1	1	(70014)(1)移动端_帝骖龙翔_定身控制	帝骖龙翔·悟	被定身，不可移动	1	8
70017	1	1520	1	1	1	(70017)(1)星楼月影	星楼月影	自身免疫控制(击退和被拉除外)	1	
70018	1	413	1	1	1	(70018)(1)春泥护花	春泥护花	受到的伤害降低50%，被攻击则消耗一层，每消耗一层则回复3%气血值	1	2
70018	2	413	1	1	1	(70018)(2)春泥护花	春泥护花	造成的伤害、疗伤效果提高10%，受到的伤害降低50%，被攻击则消耗一层，每消耗一层则回复3%气血值	1	2
70019	1	647	1	1	1	(70019)(1)流血Dot_2层	流血	每2秒受到外功伤害	1	11
70020	1	641	1	1	1	(70020)(1)悟 · 任驰骋_免控	纵轻骑	不受招式控制影响	1	2
70020	2	641	1	1	1	(70020)(2)悟 · 任驰骋_免控	纵轻骑	不受招式控制影响	1	2
70021	1	647	1	1	1	(70021)(1)悟 · 龙吟_破风_降低外功防御	破风	外功防御等级降低1150点	1	7
70021	2	0	1	1	1	(70021)(2)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	3	0	1	1	1	(70021)(3)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	4	0	1	1	1	(70021)(4)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	5	0	1	1	1	(70021)(5)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	6	0	1	1	1	(70021)(6)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	7	0	1	1	1	(70021)(7)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	8	0	1	1	1	(70021)(8)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70021	9	0	1	1	1	(70021)(9)悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	悟 · 龙吟_破风_降低外功防御	1	
70023	1	1502	1	1	1	(70023)(1)移动端_繁音急节_基础效果	繁音急节·悟	阴性内功伤害提升35%，会心概率提升35%，闪避概率提升50%	1	1
70024	0	897	1	1	1	(70024)(0)移动端_翔鸾舞柳_基础回血	翔鸾舞柳·悟	每3秒恢复气血值	1	2
70024	1	897	1	1	1	(70024)(1)移动端_翔鸾舞柳_基础回血	翔鸾舞柳·悟	每3秒恢复1次气血值	1	2
70025	1	912	1	1	1	(70025)(1)移动端_鹊踏枝_免控效果	鹊踏枝·悟	闪避提升，不受招式控制效果影响(击退和被拉除外)	1	
70029	1	638	1	1	1	(70029)(1)悟 · 突_眩晕效果	眩晕	眩晕	1	8
70030	1	2947	1	1	1	(70030)(1)移动端_冰心通用_急曲效果	急曲	每3秒造成一次伤害	1	7
70033	1	903	1	1	1	(70033)(1)移动端_剑气长江_减速效果	剑气长江·减速	移动速度降低50%	1	12
70037	1	2020	1	1	1	(70037)(1)傲血_雷行秘籍_减速效果	雷行	移动速度降低25%	1	12
70037	2	2020	1	1	1	(70037)(2)傲血_雷行秘籍_减速效果	雷行	移动速度降低45%	1	12
70040	1	0	1	1	1	(70040)(1)傲血_龙吟秘籍_减速效果	傲血_龙吟秘籍_减速效果	傲血_龙吟秘籍_减速效果	1	12
70041	0	390	1	1	1	(70041)(0)兰摧玉折	兰摧玉折	每3秒受到<BUFF atCallNeutralDamage>点混元性内功伤害并降低15%化劲等级	1	11
70041	1	390	1	1	1	(70041)(1)兰摧玉折	兰摧玉折	每3秒受到混元性内功伤害	1	
70044	1	653	1	1	1	(70044)(1)傲血_突秘籍_徐如林	徐如林	马下施展招式命中目标可减少其他招式1秒调息时间。	1	
70045	1	1507	1	1	1	(70045)(1)移动端_风袖低昂_增加疗伤	风袖低昂·秘章	疗伤成效提升	1	1
70048	1	2945	1	1	1	(70048)(1)移动端_左旋右转_群疗减伤	左旋右转·绝篇	受到伤害降低	1	2
