AttribType	Value1Strable	Value2Strable
atVitalityBase	1	0
atSpiritBase	1	0
atStrengthBase	1	0
atSpunkBase	1	0
atAgilityBase	1	0
atMaxLifeAdditional	1	0
atMaxManaAdditional	1	0
atPhysicsCriticalStrike	1	0
atMagicCriticalStrike	1	0
atSolarCriticalStrike	1	0
atNeutralCriticalStrike	1	0
atLunarCriticalStrike	1	0
atPoisonCriticalStrike	1	0
atDodge	1	0
atPhysicsAttackPowerBase	1	0
atMagicAttackPowerBase	1	0
atSolarAttackPowerBase	1	0
atNeutralAttackPowerBase	1	0
atLunarAttackPowerBase	1	0
atPoisonAttackPowerBase	1	0
atTherapyPowerBase	1	0
atPhysicsShieldAdditional	1	0
atMagicShield	1	0
atLifeReplenishExt	1	0
atManaReplenishExt	1	0
atPhysicsHitValue	1	0
atSolarHitValue	1	0
atNeutralHitValue	1	0
atLunarHitValue	1	0
atPoisonHitValue	1	0
atParryBase	1	0
atParryValueBase	1	0
atStrainBase	1	0
atPhysicsOvercomeBase	1	0
atSolarOvercomeBase	1	0
atNeutralOvercomeBase	1	0
atLunarOvercomeBase	1	0
atPoisonOvercomeBase	1	0
atMagicOvercome	1	0
atToughnessBase	1	0
atDecriticalDamagePowerBase	1	0
atMagicCriticalDamagePowerBase	1	0
atPhysicsCriticalDamagePowerBase	1	0
atSolarCriticalDamagePowerBase	1	0
atNeutralCriticalDamagePowerBase	1	0
atLunarCriticalDamagePowerBase	1	0
atPoisonCriticalDamagePowerBase	1	0
atMagicHitValue	1	0
atActiveThreatCoefficient	0	1
atAllTypeHitValue	1	0
atAllTypeCriticalStrike	1	0
atAllTypeCriticalDamagePowerBase	1	0
atSolarAndLunarAttackPowerBase	1	0
atSolarAndLunarHitValue	1	0
atSolarAndLunarCriticalStrike	1	0
atSolarAndLunarCriticalDamagePowerBase	1	0
atSolarAndLunarOvercomeBase	1	0
atHasteBase	1	0
atPhysicsShieldBase	1	0
atSurplusValueBase	1	0
atPVXAllRound	1	0
