RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10072	1	剑器浑脱	1	0
1	10070	1	西河剑器	1	0
1	10069	1	霓裳羽衣	1	0
1	10068	1	猿公剑法	1	0
1	560	1	冰心诀	1	0
1	536	1	素女心经	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	538	1	素女心经	1	0
1	10104	1	九音惊弦阵	1	0
1	10078	1	花月凌风阵	1	0
1	526	1	花月凌风阵开阵	1	0
1	781	1	九音惊弦阵开阵	1	0
1	605	1	骑术	1	0
1	2707	28	玳弦急曲	1	0
1	8670	1	感时曲终	1	0
1	537	7	名动四方	1	0
1	553	32	江海凝光	1	0
1	10081	1	冰心诀	1	0
1	542	1	冰心诀	1	0
1	10080	1	素女心经	1	0
3	561	28	剑气长江	1	0
3	549	7	雨霖铃	1	0
3	565	28	回雪飘摇	1	0
6	554	29	翔鸾舞柳	1	0
6	2716	18	剑破虚空	1	0
8	81	1	神行千里	1	0
9	546	1	剑影留痕	1	0
9	555	32	风袖低昂	1	0
10	536	2	素女心经	1	0
10	9003	4	蹑云逐月	1	0
10	556	6	上元点鬟	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	10081	2	冰心诀	1	0
10	542	2	冰心诀	1	0
10	10080	2	素女心经	1	0
11	574	4	蝶弄足	1	0
12	557	1	天地低昂	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
13	544	4	帝骖龙翔	1	0
14	3003	1	妙舞神扬	1	0
14	551	1	心鼓弦	1	0
14	24997	1	心鼓弦	1	0
15	18579	6	水榭花盈	1	0
16	569	28	王母挥袂	1	0
17	558	1	雷霆震怒	1	0
18	550	5	鹊踏枝	1	0
19	568	4	繁音急节	1	0
20	536	3	素女心经	1	0
20	545	11	婆罗门	1	0
20	10081	3	冰心诀	1	0
20	542	3	冰心诀	1	0
20	10080	3	素女心经	1	0
30	536	4	素女心经	1	0
30	10081	4	冰心诀	1	0
30	542	4	冰心诀	1	0
30	10080	4	素女心经	1	0
50	10081	5	冰心诀	1	0
50	542	5	冰心诀	1	0
50	10080	5	素女心经	1	0
50	536	5	素女心经	1	0
