RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	35702	1	万灵山庄基础属性	1	0
1	10755	1	上弦星流术	1	0
1	10759	1	飞镝应锋决	1	0
1	10760	1	山海同归契	1	0
1	10761	1	万方携游	1	0
1	10125	1	经脉畅行	1	0
1	10757	1	万灵山庄阵法	1	0
1	36318	1	万灵山庄阵法	1	0
1	605	1	骑术	1	0
1	35685	1	归平野	1	0
1	35686	1	汇山岚	1	0
1	35687	1	聚长川	1	0
1	35688	1	归平野	1	0
1	35689	1	汇山岚	1	0
1	35690	1	聚长川	1	0
1	35659	15	劲风簇	1	0
1	35669	1	寒更晓箭	1	0
1	35661	15	饮羽簇	1	0
1	10756	1	山海心诀	1	0
3	35660	15	霖集簇	1	0
6	35662	15	白羽流星	1	0
6	36276	15	弛风鸣角	1	0
6	35665	15	没石饮羽	1	0
7	35670	1	空弦惊雁	1	0
8	35671	1	金乌见坠	1	0
8	81	1	神行千里	1	0
9	35695	11	引风唤灵	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	35696	1	召律应音	1	0
10	10756	2	山海心诀	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	35682	1	澄神醒梦	1	0
13	35697	1	风尽浮生	1	0
14	35683	1	应天授命	1	0
15	36158	1	风宿帷天	1	0
20	35684	1	昌寿乘云	1	0
20	35680	1	结魂缔约	1	0
20	35681	11	汇灵合契	1	0
20	10756	3	山海心诀	1	0
30	10756	4	山海心诀	1	0
50	10756	5	山海心诀	1	0
