RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10089	1	百花拂穴手	1	0
1	10088	1	点穴截脉	1	0
1	10019	1	太素九针	1	0
1	10018	1	养心诀	1	0
1	491	1	武经：花间游	1	0
1	493	1	医经：离经易道	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10102	1	七绝逍遥阵	1	0
1	10036	1	落星惊鸿阵	1	0
1	1020	1	落星惊鸿阵开阵	1	0
1	230	1	七绝逍遥阵开阵	1	0
1	605	1	骑术	1	0
1	179	28	阳明指	1	0
1	180	29	商阳指	1	0
1	10021	1	武经：花间游	1	0
1	487	1	武经：花间游	1	0
1	10028	1	医经：离经易道	1	0
1	492	1	医经：离经易道	1	0
3	182	29	玉石俱焚	1	0
6	189	24	钟林毓秀	1	0
6	23947	24	钟林毓秀	1	0
7	138	28	提针	1	0
7	190	19	兰摧玉折	1	0
7	23946	19	兰摧玉折	1	0
8	81	1	神行千里	1	0
8	101	29	握针	1	0
9	132	7	春泥护花	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	140	15	彼针	1	0
10	14664	15	彼针	1	0
10	27033	15	彼针	1	0
10	27034	15	彼针	1	0
10	36125	15	彼针	1	0
10	2636	29	快雪时晴	1	0
10	10021	2	武经：花间游	1	0
10	492	2	武经：花间游	1	0
10	10028	2	医经：离经易道	1	0
10	487	2	医经：离经易道	1	0
11	186	4	芙蓉并蒂	1	0
11	142	29	长针	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	139	5	锋针	1	0
13	228	6	太阴指	1	0
14	131	1	碧水滔天	1	0
15	100	1	星楼月影	1	0
16	136	1	水月无间	1	0
17	2654	1	利针	1	0
17	2645	1	乱洒青荷	1	0
17	2663	1	听风吹雪	1	0
18	130	8	清心静气	1	0
20	10021	3	武经：花间游	1	0
20	492	3	武经：花间游	1	0
20	10028	3	医经：离经易道	1	0
20	487	3	医经：离经易道	1	0
30	10021	4	武经：花间游	1	0
30	492	4	武经：花间游	1	0
30	10028	4	医经：离经易道	1	0
30	487	4	医经：离经易道	1	0
50	10021	5	武经：花间游	1	0
50	492	5	武经：花间游	1	0
50	10028	5	医经：离经易道	1	0
50	487	5	医经：离经易道	1	0
