RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10296	1	降龙掌法·下	1	0
1	10265	1	逍遥行	1	0
1	10264	1	降龙掌法·上	1	0
1	10263	1	打狗棒法	1	0
1	5309	1	笑尘诀	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10269	1	丐帮阵法	1	0
1	605	1	骑术	1	0
1	5311	1	开阵	1	0
1	5258	21	拨狗朝天	1	0
1	5354	21	横打双獒	1	0
1	5259	1	棒打狗头	1	0
1	10268	1	笑尘诀	1	0
1	5308	1	笑尘诀	1	0
3	5257	16	蜀犬吠日	1	0
5	5260	22	天下无狗	1	0
5	20803	22	天下无狗	1	0
7	5638	20	亢龙有悔	1	0
8	81	1	神行千里	1	0
8	5266	17	龙战于野	1	0
9	5262	1	龙跃于渊	1	0
9	40264	1	醉妄	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	5268	1	酒中仙	1	0
10	5272	1	醉逍遥	1	0
10	10268	2	笑尘诀	1	0
10	5308	2	笑尘诀	1	0
11	5263	13	时乘六龙	1	0
11	5365	9	狂龙乱舞	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
13	5269	1	烟雨行	1	0
14	5270	1	笑醉狂	1	0
15	5361	8	恶狗拦路	1	0
16	5267	8	龙啸九天	1	0
17	5362	1	犬牙交错	1	0
20	5367	12	蛟龙翻江	1	0
20	5368	19	双龙取水	1	0
20	5369	10	龙游天地	1	0
20	5370	11	龙腾五岳	1	0
20	10268	3	笑尘诀	1	0
20	5308	3	笑尘诀	1	0
30	10268	4	笑尘诀	1	0
30	5308	4	笑尘诀	1	0
50	10268	5	笑尘诀	1	0
50	5308	5	笑尘诀	1	0
