RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10174	1	补天心经	1	0
1	10173	1	大荒驭龙	1	0
1	10172	1	万蛊真解	1	0
1	10171	1	五仙图录	1	0
1	10176	1	补天诀	1	0
1	10175	1	毒经	1	0
1	2237	1	补天诀	1	0
1	2245	1	毒经	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10194	1	万蛊噬心阵	1	0
1	10193	1	妙手织天阵	1	0
1	2481	1	妙手织天阵施放	1	0
1	2487	1	妙手织天阵施放	1	0
1	605	1	骑术	1	0
1	2209	31	蝎心	1	0
1	2211	32	蛇影	1	0
1	2236	1	补天诀	1	0
1	2244	1	毒经	1	0
3	2212	34	百足	1	0
6	2213	23	千丝	1	0
7	2223	1	灵蛇引	1	0
7	2232	31	冰蚕牵丝	1	0
7	6662	31	冰蚕牵丝	1	0
8	81	1	神行千里	1	0
8	18584	1	蛊毒	1	0
8	44354	1	噬蛊	1	0
9	2226	1	蛊虫献祭	1	0
9	2233	32	醉舞九天	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	2231	5	蛊惑众生	1	0
10	2210	26	蟾啸	1	0
10	42288	1	虫魄	1	0
10	10176	2	补天诀	1	0
10	10175	2	毒经	1	0
10	2236	2	补天诀	1	0
10	2244	2	毒经	1	0
11	2957	34	圣手织天	1	0
11	3702	1	玄水蛊	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	2229	1	涅槃重生	1	0
12	2220	1	凤凰蛊	1	0
12	25020	1	凤凰蛊	1	0
13	2228	1	化蝶	1	0
13	2235	1	千蝶吐瑞	1	0
14	2224	1	风蜈引	1	0
16	2221	1	圣蝎引	1	0
16	2230	1	女娲补天	1	0
17	2225	1	天蛛引	1	0
18	2222	1	玉蟾引	1	0
19	2965	1	碧蝶引	1	0
20	10176	3	补天诀	1	0
20	10175	3	毒经	1	0
20	2236	3	补天诀	1	0
20	2244	3	毒经	1	0
30	10176	4	补天诀	1	0
30	10175	4	毒经	1	0
30	2236	4	补天诀	1	0
30	2244	4	毒经	1	0
50	10176	5	补天诀	1	0
50	10175	5	毒经	1	0
50	2236	5	补天诀	1	0
50	2244	5	毒经	1	0
