RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	22049	1	凌雪阁基础属性	1	0
1	10586	1	断水刃	1	0
1	10588	1	隐雷鞭	1	0
1	10589	1	冲云链	1	0
1	10590	1	山河令	1	0
1	10125	1	经脉畅行	1	0
1	10587	1	龙皇雪风阵	1	0
1	22798	1	龙皇雪风阵	1	0
1	605	1	骑术	1	0
1	22143	31	星垂平野	1	0
1	22144	22	金戈回澜	1	0
1	22613	22	金戈回澜	1	0
1	10585	1	隐龙诀	1	0
3	22274	1	血覆黄泉	1	0
3	22361	10	幽冥窥月	1	0
6	22327	32	寂洪荒	1	0
6	22635	32	寂洪荒	1	0
7	22150	4	骤雨寒江	1	0
8	81	1	神行千里	1	0
8	22460	26	铁马冰河	1	0
9	22320	15	乱天狼	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	10585	2	隐龙诀	1	0
11	22614	1	孤风飒踏	1	0
11	22616	1	孤风飒踏	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
13	22344	1	日月吴钩	1	0
14	22358	8	斩无常	1	0
14	22647	8	斩无常	1	0
15	22360	1	崔嵬鬼步	1	0
16	22321	18	隐风雷	1	0
18	22417	1	十方玄机	1	0
20	10585	3	隐龙诀	1	0
30	10585	4	隐龙诀	1	0
50	10585	5	隐龙诀	1	0
