RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	31559	1	基础属性	1	0
1	10697	1	流云势法	1	0
1	10707	1	破浪三式	1	0
1	10706	1	游风步	1	0
1	10708	1	骤雨劲	1	0
1	10125	1	经脉畅行	1	0
1	10699	1	刀宗阵法套路	1	0
1	33057	1	刀宗阵法释放	1	0
1	605	1	骑术	1	0
1	32132	30	纷绞势	1	1
1	32133	25	顾应势	1	1
1	10698	1	孤锋诀	1	0
3	32146	27	留客雨	1	1
6	32134	5	疾电势	1	1
7	32135	14	起落势	1	0
7	32145	12	孤风破浪	1	0
8	81	1	神行千里	1	0
8	32142	1	游风飘踪	1	0
9	32601	25	沧浪三叠	1	0
10	9002	11	扶摇直上	1	0
10	9003	4	蹑云逐月	1	0
10	35	1	传功	1	0
10	32144	17	横云断浪	1	0
10	10698	2	孤锋诀	1	0
11	32174	6	凝神势	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
12	32419	4	灭影追风	1	0
13	32140	1	驰风八步	1	0
14	32148	1	触石雨	1	0
19	31862	1	观风寻隙	1	1
20	32147	1	洗兵雨	1	0
20	10698	3	孤锋诀	1	0
21	32175	6	望云势	1	0
30	10698	4	孤锋诀	1	0
50	10698	5	孤锋诀	1	0
