RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10622	1	凌波飞叶令	1	0
1	10623	1	行忌制方	1	0
1	10624	1	行宜列药	1	0
1	10625	1	神农百草诀	1	0
1	27457	1	灵素基础属性	1	0
1	27458	1	无方基础属性	1	0
1	10125	1	经脉畅行	1	0
1	10628	1	乱暮浊茵阵	1	0
1	28919	1	乱暮浊茵阵	1	0
1	10629	1	潜光藏象阵	1	0
1	28971	1	潜光藏象阵	1	0
1	605	1	骑术	1	0
1	27551	32	商陆缀寒	1	0
1	29500	32	商陆缀寒	1	0
1	27554	10	钩吻断肠	1	0
1	10627	1	无方	1	0
1	10626	1	灵素	1	0
3	27556	10	川乌射罔	1	0
6	27621	15	白芷含芳	1	0
7	28345	15	银光照雪	1	0
7	27528	15	银光照雪	1	0
8	81	1	神行千里	1	0
9	27632	10	赤芍寒香	1	0
9	27578	1	沾衣未妨	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	27623	12	当归四逆	1	0
10	35	1	传功	1	0
10	10627	2	无方	1	0
10	10626	2	灵素	1	0
11	27897	1	绿野蔓生	1	0
11	27669	10	青川濯莲	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
13	27630	8	龙葵自苦	1	0
13	27582	15	且待时休	1	0
14	27634	1	灵素还生	1	0
14	27675	1	枯木苏息	1	0
15	27642	1	凌然天风	1	0
15	27643	1	凌然天风	1	0
15	27644	1	凌然天风	1	0
15	27645	1	凌然天风	1	0
15	27646	1	凌然天风	1	0
15	27782	1	凌然天风	1	0
16	27649	1	千枝绽蕊	1	0
16	27650	1	千枝绽蕊	1	0
17	27536	15	惊鸿掠水	1	0
17	28647	15	惊鸿掠水	1	0
17	27537	1	回风微澜	1	0
18	27635	31	含锋破月	1	0
18	28486	31	含锋破月	1	0
18	27637	31	飞叶满襟	1	0
18	29966	31	飞叶满襟	1	0
19	27667	1	紫叶沉疴	1	0
19	28620	10	七情和合	1	0
20	27652	10	苍棘缚地	1	0
20	27674	1	逐云寒蕊	1	0
20	10627	3	无方	1	0
20	10626	3	灵素	1	0
30	10627	4	无方	1	0
30	10626	4	灵素	1	0
50	10627	5	无方	1	0
50	10626	5	灵素	1	0
