RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10220	1	天魔无相	1	0
1	10219	1	九宫飞星	1	0
1	10218	1	百步穿杨	1	0
1	10216	1	乾坤一掷	1	0
1	3210	1	天罗诡道	1	0
1	3212	1	惊羽诀	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10227	1	内功阵	1	0
1	10226	1	外功阵	1	0
1	3216	1	外功开阵	1	0
1	3217	1	内功开阵	1	0
1	605	1	骑术	1	0
1	3095	28	夺魄箭	1	0
1	3093	28	暴雨梨花针	1	0
1	6444	28	暴雨梨花针	1	0
1	10225	1	天罗诡道	1	0
1	10224	1	惊羽诀	1	0
1	3211	1	天罗诡道	1	0
1	3204	1	惊羽诀	1	0
3	3096	28	追命箭	1	0
6	3097	27	裂石弩	1	0
6	6450	27	裂石弩	1	0
7	3105	27	蚀肌弹	1	0
8	3106	27	天女散花	1	0
8	3101	28	逐星箭	1	0
8	81	1	神行千里	1	0
9	3098	15	穿心弩	1	0
9	3112	1	浮光掠影	1	0
10	35	1	传功	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	3089	1	雷震子	1	0
10	10225	2	天罗诡道	1	0
10	10224	2	惊羽诀	1	0
10	3211	2	天罗诡道	1	0
10	3204	2	惊羽诀	1	0
11	3091	1	孔雀翎	1	0
11	3109	1	千机变	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	3108	28	天绝地灭	1	0
12	3114	1	惊鸿游龙	1	0
13	3111	1	暗藏杀机	1	0
13	3357	1	图穷匕见	1	0
13	3118	1	鸟翔碧空	1	0
14	3094	1	心无旁骛	1	0
15	3090	1	迷神钉	1	0
16	3103	1	飞星遁影	1	0
17	3110	1	鬼斧神工	1	0
18	18481	1	子母飞爪	1	0
20	10225	3	天罗诡道	1	0
20	10224	3	惊羽诀	1	0
20	3211	3	天罗诡道	1	0
20	3204	3	惊羽诀	1	0
30	10225	4	天罗诡道	1	0
30	10224	4	惊羽诀	1	0
30	3211	4	天罗诡道	1	0
30	3204	4	惊羽诀	1	0
50	10225	5	天罗诡道	1	0
50	10224	5	惊羽诀	1	0
50	3211	5	天罗诡道	1	0
50	3204	5	惊羽诀	1	0
