RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10034	1	达摩武诀	1	0
1	10033	1	袈裟伏魔功	1	0
1	10032	1	龙爪功	1	0
1	10031	1	罗汉棍法	1	0
1	579	1	洗髓经	1	0
1	584	1	洗髓经	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10100	1	天鼓雷音阵	1	0
1	10035	1	金刚伏魔阵	1	0
1	740	1	金刚伏魔阵施放	1	0
1	745	1	天鼓雷音阵施放	1	0
1	605	1	骑术	1	0
1	232	28	普渡四方	1	0
1	233	29	韦陀献杵	1	0
1	10003	1	易筋经	1	0
1	10002	1	洗髓经	1	0
1	578	1	易筋经	1	0
1	583	1	易筋经	1	0
1	5913	1	降魔渡厄	1	0
3	2572	10	守缺式	1	0
6	235	29	横扫六合	1	0
7	236	6	摩诃无量	1	0
8	81	1	神行千里	1	0
8	238	23	捕风式	1	0
9	252	3	大狮子吼	1	0
10	18624	3	大狮子吼	1	0
10	35	1	传功	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	243	19	拿云式	1	0
10	10003	2	易筋经	1	0
10	10002	2	洗髓经	1	0
10	578	2	易筋经	1	0
10	583	2	洗髓经	1	0
11	24890	19	拿云式	1	0
11	200	10	般若诀	1	0
11	242	1	捉影式	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	260	1	擒龙诀	1	0
13	245	1	罗汉金身	1	0
13	18604	1	千斤坠	1	0
14	257	1	锻骨诀	1	0
15	18164	4	无相诀	1	0
15	261	4	无相诀	1	0
17	15165	1	二业依缘	1	0
18	258	1	舍身诀	1	0
20	10003	3	易筋经	1	0
20	10002	3	洗髓经	1	0
20	578	3	易筋经	1	0
20	583	3	洗髓经	1	0
30	10003	4	易筋经	1	0
30	10002	4	洗髓经	1	0
30	578	4	易筋经	1	0
30	583	4	洗髓经	1	0
50	10003	5	易筋经	1	0
50	10002	5	洗髓经	1	0
50	578	5	易筋经	1	0
50	583	5	洗髓经	1	0
