RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10238	1	大圣名尊法	1	0
1	10237	1	御暗烬灭令	1	0
1	10236	1	幻魔妙相	1	0
1	10235	1	日月净世	1	0
1	4259	1	明尊琉璃体	1	0
1	4261	1	焚影圣诀	1	0
1	4431	1	明尊琉璃体	1	0
1	4432	1	焚影圣诀	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10249	1	防御阵	1	0
1	10248	1	攻击阵	1	0
1	4674	1	攻击阵施放	1	0
1	4687	1	攻击阵施放	1	0
1	605	1	骑术	1	0
1	3962	33	赤日轮	1	0
1	3967	32	净世破魔击	1	0
1	10243	1	明尊琉璃体	1	0
1	10242	1	焚影圣诀	1	0
1	4258	1	明尊琉璃体	1	0
1	4260	1	焚影圣诀	1	0
3	3963	32	烈日斩	1	0
6	3966	1	生死劫	1	0
8	81	1	神行千里	1	0
8	3959	24	幽月轮	1	0
9	3960	18	银月斩	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	3982	1	慈悲愿	1	0
10	3974	1	暗尘弥散	1	0
10	10243	2	明尊琉璃体	1	0
10	10242	2	焚影圣诀	1	0
10	4258	2	明尊琉璃体	1	0
10	4260	2	焚影圣诀	1	0
11	3980	5	戒火斩	1	0
11	3979	29	驱夜断愁	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	3973	6	贪魔体	1	0
12	15128	1	贪魔体	1	0
13	3970	1	幻光步	1	0
13	18633	1	幻光步	1	0
14	3969	1	光明相	1	0
15	3985	1	朝圣言	1	0
15	4910	1	无明魂锁	1	0
15	18636	1	无明魂锁	1	0
16	3977	1	流光囚影	1	0
16	3968	1	如意法	1	0
18	3975	1	怖畏暗刑	1	0
20	10243	3	明尊琉璃体	1	0
20	10242	3	焚影圣诀	1	0
20	4258	3	明尊琉璃体	1	0
20	4260	3	焚影圣诀	1	0
30	10243	4	明尊琉璃体	1	0
30	10242	4	焚影圣诀	1	0
30	4258	4	明尊琉璃体	1	0
30	4260	4	焚影圣诀	1	0
50	10243	5	明尊琉璃体	1	0
50	10242	5	焚影圣诀	1	0
50	4258	5	明尊琉璃体	1	0
50	4260	5	焚影圣诀	1	0
