RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	38565	1	段氏基础属性	1	0
1	10780	1	聘风令	1	0
1	10781	1	空蒙扇	1	0
1	10782	1	一阳指	1	0
1	10783	1	苍洱游	1	0
1	10125	1	经脉畅行	1	0
1	10799	1	段氏阵法	1	0
1	38566	1	段氏阵法	1	0
1	605	1	骑术	1	0
1	38006	1	断脉	1	0
1	10786	1	周天功	1	0
2	38007	1	截阳	1	0
3	38014	1	经脉循行	1	0
4	38008	1	破穴	1	0
8	81	1	神行千里	1	0
8	38009	1	引窍	1	0
10	38013	1	月落参横	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	10786	2	周天功	1	0
11	38012	1	雪重花满	1	0
12	37779	1	骤风令	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	37780	1	劈风令	1	0
14	37781	1	抟风令	1	0
15	38010	1	雾暗迷云	1	0
16	37809	1	雾海萦空	1	0
17	37808	1	雾刃飞光	1	0
17	38017	1	雾刃飞光	1	0
17	38018	1	雾刃飞光	1	0
17	38019	1	雾刃飞光	1	0
18	38011	1	风流云散	1	0
20	10786	3	周天功	1	0
30	10786	4	周天功	1	0
50	10786	5	周天功	1	0
