RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10012	1	坐忘经	1	0
1	10011	1	天道剑势	1	0
1	10009	1	北冥剑气	1	0
1	10000	1	纯阳决	1	0
1	484	1	紫霞功	1	0
1	343	1	紫霞功	1	0
1	38530	1	剑纯被动	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10103	1	北斗七星阵	1	0
1	10077	1	九宫八卦阵	1	0
1	347	1	北斗七星阵释放	1	0
1	778	1	九宫八卦阵释放	1	0
1	605	1	骑术	1	0
1	367	33	四象轮回	1	0
8	306	32	太极无极	1	0
1	10015	1	太虚剑意	1	0
1	10014	1	紫霞功	1	0
1	345	1	太虚剑意	1	0
1	342	1	太虚剑意	1	0
1	301	35	两仪化形	1	0
1	368	31	六合独尊	1	0
8	18640	1	万世不竭	1	0
7	364	33	三环套月	1	0
7	18654	1	万世不竭释放	1	0
8	18796	1	万世不竭	1	0
8	81	1	神行千里	1	0
20	312	10	坐忘无我	1	0
8	365	35	无我无剑	1	0
1	18668	31	六合独尊	1	0
30	303	22	三才化生	1	0
9	311	31	万剑归宗	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
20	359	1	破苍穹	1	0
10	362	1	碎星辰	1	0
10	366	1	大道无术	1	0
10	10015	2	太虚剑意	1	0
10	10014	2	紫霞功	1	0
10	342	2	太虚剑意	1	0
10	345	2	紫霞功	1	0
14	358	1	生太极	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
14	2674	16	五方行尽	1	0
12	588	22	人剑合一	1	0
12	40751	1	人剑合一·解	1	0
14	305	1	九转归一	1	0
13	372	1	转乾坤	1	0
8	2681	1	紫气东来	1	0
26	369	5	七星拱瑞	1	0
15	2699	16	八荒归元	1	0
26	346	10	梯云纵	1	0
20	371	1	镇山河	1	0
20	24946	1	镇山河	1	0
17	2690	1	剑冲阴阳	1	0
17	18751	1	剑冲阴阳	1	0
18	363	1	吞日月	1	0
26	355	1	凭虚御风	1	0
20	10015	3	太虚剑意	1	0
20	10014	3	紫霞功	1	0
20	342	3	太虚剑意	1	0
20	345	3	紫霞功	1	0
30	10015	4	太虚剑意	1	0
30	10014	4	紫霞功	1	0
30	342	4	太虚剑意	1	0
30	345	4	紫霞功	1	0
50	10015	5	太虚剑意	1	0
50	10014	5	紫霞功	1	0
50	342	5	太虚剑意	1	0
50	345	5	紫霞功	1	0
