RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10383	1	寒铁诀	1	0
1	10384	1	破阵令	1	0
1	10385	1	云城盾	1	0
1	10386	1	苍雪刀	1	0
1	13149	1	分山劲	1	0
1	13150	1	铁骨衣	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	10391	1	防御阵	1	0
1	10392	1	攻击阵	1	0
1	13228	1	防御阵施放	1	0
1	13275	1	攻击阵施放	1	0
1	605	1	骑术	1	0
1	13044	33	盾刀	1	0
1	40721	1	征北	1	0
1	13047	16	盾击	1	0
1	10390	1	分山劲	1	0
1	10389	1	铁骨衣	1	0
3	13048	16	盾舞	1	0
6	13050	15	盾飞	1	0
7	13052	28	劫刀	1	0
7	13046	25	盾猛	1	0
8	81	1	神行千里	1	0
9	13054	22	斩刀	1	0
10	35	1	传功	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	13391	1	盾挡	1	0
10	10390	2	分山劲	1	0
10	10389	2	铁骨衣	1	0
11	13055	20	绝刀	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
13	13070	1	盾壁	1	0
14	13045	24	盾压	1	0
15	13424	1	撼地	1	0
16	13053	18	闪刀	1	0
17	13068	10	盾毅	1	0
18	13040	1	血怒	1	0
19	13042	1	无惧	1	0
20	13049	1	盾墙	1	0
20	13067	1	盾立	1	0
20	10390	3	分山劲	1	0
20	10389	3	铁骨衣	1	0
30	10390	4	分山劲	1	0
30	10389	4	铁骨衣	1	0
50	10390	5	分山劲	1	0
50	10389	5	铁骨衣	1	0
