RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	19706	1	蓬莱基础属性	1	0
1	10535	1	风起云扬	1	0
1	10539	1	长空破云	1	0
1	10540	1	乘游九霄	1	0
1	10541	1	裂涛掌	1	0
1	10125	1	经脉畅行	1	0
1	10567	1	墟海引归阵	1	0
1	20702	1	墟海引归阵释放	1	0
1	605	1	骑术	1	0
1	19737	31	击水三千	1	0
1	20053	15	跃潮斩波	1	0
1	10533	1	凌海诀	1	0
14	19818	22	木落雁归	1	0
20	20083	15	溟海御波	1	0
8	20084	15	逐波灵游	1	0
8	81	1	神行千里	1	0
20	19828	10	浮游天地	1	0
20	20049	1	物化天行	1	0
1	19827	32	翼绝云天	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
14	20285	1	逸尘步虚	1	0
10	10533	2	凌海诀	1	0
8	20715	15	海运南冥	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
8	20259	15	振翅图南	1	0
26	19984	1	驭羽骋风	1	0
26	20245	4	定波砥澜	1	0
14	20281	1	疾电叱羽	1	0
20	10533	3	凌海诀	1	0
30	10533	4	凌海诀	1	0
50	10533	5	凌海诀	1	0
