RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10150	1	西子情	1	0
1	10149	1	君子风	1	0
1	10148	1	灵峰剑式	1	0
1	10146	1	秀水剑法	1	0
1	1721	1	问水诀	1	0
1	10082	1	轻功	1	0
1	10125	1	经脉畅行	1	0
1	1729	1	山居剑意	1	0
1	10161	1	依山观澜阵	1	0
1	1866	1	开阵	1	0
1	605	1	骑术	1	0
1	1646	33	听雷	1	0
1	1579	32	九溪弥烟	1	0
1	10144	1	问水诀	1	0
1	10145	1	山居剑意	1	0
1	1720	1	问水诀	1	0
1	1728	1	山居剑意	1	0
3	1656	1	啸日	1	0
3	1600	28	夕照雷锋	1	0
6	1578	26	平湖断月	1	0
7	1577	1	玉虹贯日	1	0
8	81	1	神行千里	1	0
8	1593	16	云飞玉皇	1	0
9	1581	26	黄龙吐翠	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	10145	2	山居剑意	1	0
10	10144	2	问水诀	1	0
10	1720	2	山居剑意	1	0
10	1728	2	问水诀	1	0
11	1645	10	风来吴山	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	1613	1	峰插云景	1	0
12	18322	18	鹤归孤山	1	0
13	1663	1	莺鸣柳	1	0
14	1649	1	醉月	1	0
15	1580	1	玉泉鱼跃	1	0
16	1589	13	梦泉虎跑	1	0
17	1666	8	泉凝月	1	0
18	1668	1	云栖松	1	0
20	10145	3	山居剑意	1	0
20	10144	3	问水诀	1	0
20	1720	3	山居剑意	1	0
20	1728	3	问水诀	1	0
30	10145	4	山居剑意	1	0
30	10144	4	问水诀	1	0
30	1720	4	山居剑意	1	0
30	1728	4	问水诀	1	0
50	10145	5	山居剑意	1	0
50	10144	5	问水诀	1	0
50	1720	5	山居剑意	1	0
50	1728	5	问水诀	1	0
