RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	24389	1	衍天基础属性	1	0
1	10614	1	九字诀	1	0
1	10617	1	占术	1	0
1	10618	1	奇门	1	0
1	10619	1	天机	1	0
1	10125	1	经脉畅行	1	0
1	10616	1	衍天阵法	1	0
1	25517	1	衍天阵法	1	0
1	605	1	骑术	1	0
1	24369	17	三星临	1	0
1	24371	18	兵主逆	1	0
1	10615	1	太玄经	1	0
3	24372	19	天斗旋	1	0
6	24373	5	往者定	1	0
8	24375	1	起卦	1	0
8	24376	1	祝由水坎	1	0
8	24377	1	祝由山艮	1	0
8	24431	8	祝由火离	1	0
8	81	1	神行千里	1	0
9	24491	1	变卦	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
10	24378	1	奇门飞宫	1	0
10	10615	2	太玄经	1	0
11	24379	18	鬼星开穴	1	0
12	9005	1	凌霄揽胜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9004	1	迎风回浪	1	0
12	25142	1	巨门北落	1	0
13	24374	1	踏星行	1	0
14	24380	1	返闭惊魂	1	0
16	24383	1	天人合一	1	0
17	24382	1	斗转星移	1	0
18	24385	1	鸿蒙天禁	1	0
20	10615	3	太玄经	1	0
30	10615	4	太玄经	1	0
50	10615	5	太玄经	1	0
