RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10440	1	音	1	0
1	10441	1	曲	1	0
1	10442	1	气	1	0
1	10443	1	影	1	0
1	14087	1	莫问	1	0
1	14088	1	相知	1	0
1	10125	1	经脉畅行	1	0
1	10449	1	浮声清脉阵	1	0
1	10450	1	万籁金弦阵	1	0
1	14172	1	浮声清脉阵释放	1	0
1	14181	1	万籁金弦阵	1	0
1	605	1	骑术	1	0
1	14064	25	宫	1	0
1	14298	25	变宫	1	0
1	14302	25	宫dot	1	0
1	14137	25	宫_治疗	1	0
1	14300	25	变宫_治疗	1	0
1	14303	25	宫_hot	1	0
1	14068	25	羽	1	0
1	14141	25	羽_治疗	1	0
1	10447	1	莫问	1	0
1	10448	1	相知	1	0
1	45730	1	曲动九州	1	0
3	14065	25	商	1	0
3	14138	25	商_治疗	1	0
6	14067	25	徵	1	0
6	14299	25	变徵	1	0
6	14140	25	徵_治疗	1	0
6	14301	25	变徵_治疗	1	0
7	14066	25	角	1	0
7	14139	25	角_治疗	1	0
8	81	1	神行千里	1	0
9	14083	1	清绝影歌	1	0
9	14522	1	清绝影歌	1	0
10	35	1	传功	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	10447	2	莫问	1	0
10	10448	2	相知	1	0
11	14075	1	云生结海	1	0
11	14224	1	云生结海_瞬发	1	0
12	14082	1	疏影横斜	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
13	14073	1	笑傲光阴	1	0
13	14222	1	笑傲光阴_瞬发	1	0
14	14084	1	杯水留影	1	0
14	15092	1	歌尽影生	1	0
15	14076	1	青霄飞羽	1	0
16	14070	25	阳春白雪	1	0
16	14230	25	阳春白雪_主动	1	0
16	15090	25	阳春白雪_主动	1	0
17	14069	1	高山流水	1	0
17	14229	1	高山流水_主动	1	0
18	14074	1	江逐月天	1	0
18	14223	1	江逐月天_瞬发	1	0
19	14154	1	迴梦逐光	1	0
19	14158	1	迴梦逐光	1	0
19	14225	1	迴梦逐光_瞬发	1	0
20	14081	1	孤影化双	1	0
20	14162	1	孤影化双	1	0
20	17571	1	孤影化双	1	0
20	14071	25	梅花三弄	1	0
20	14231	25	梅花三弄_主动	1	0
20	14072	1	平沙落雁	1	0
20	14232	1	平沙落雁_主动	1	0
20	10447	3	莫问	1	0
20	10448	3	相知	1	0
30	10447	4	莫问	1	0
30	10448	4	相知	1	0
50	10447	5	莫问	1	0
50	10448	5	相知	1	0
