RequirePlayerLevel	SkillID	SkillLevel	Desc	IsEnableAutoLearning	CostTrain
1	10465	1	殷雷腿	1	0
1	10466	1	秀明尘身	1	0
1	10467	1	松烟竹雾	1	0
1	10468	1	雪絮金屏	1	0
1	16023	1	北傲诀基础属性	1	0
1	10125	1	经脉畅行	1	0
1	10469	1	霜岚洗锋阵	1	0
1	16151	1	霜岚洗锋阵释放	1	0
1	605	1	骑术	1	0
1	16168	1	秀明尘身	1	0
1	16454	1	西楚悲歌	1	0
1	16601	15	项王击鼎	1	0
8	16602	15	破釜沉舟	1	0
1	10464	1	北傲诀	1	0
1	16627	10	上将军印	1	0
1	19344	10	上将军印	1	0
26	16028	10	龙骧虎步	1	0
26	17057	10	闹须弥	1	0
1	16166	1	松烟竹雾	1	0
20	16608	1	散流霞	1	0
8	81	1	神行千里	1	0
1	16870	10	擒龙六斩	1	0
8	16459	1	临渊蹈河	1	0
8	16169	1	雪絮金屏	1	0
8	16027	15	刀啸风吟	1	0
10	9003	4	蹑云逐月	1	0
10	9002	11	扶摇直上	1	0
10	35	1	传功	1	0
14	16085	15	醉斩白蛇	1	0
10	10464	2	北傲诀	1	0
12	9006	1	瑶台枕鹤	1	0
12	9005	1	凌霄揽胜	1	0
12	9004	1	迎风回浪	1	0
14	16598	10	雷走风切	1	0
8	16479	15	割据秦宫	1	0
14	16621	15	坚壁清野	1	0
20	16460	10	踏宴扬旗	1	0
20	16304	15	碎江天	1	0
26	16620	1	封渊震煞	1	0
26	16455	1	楚河汉界	1	0
20	10464	3	北傲诀	1	0
30	10464	4	北傲诀	1	0
50	10464	5	北傲诀	1	0
