SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	Remark	Name	Desc	ShortDesc	SpecialDesc	KungfuDesc	HelpDesc	IsShowInNewSkill	CanDrag	SkillRelyOnShow	SkillRelyOnNotShow	IsShowNotLearn	IsHotkeyExitWhenForget	Buff	Debuff	BlackList	SimpleDesc	AutoSelectTarget	Decoration	nInterruptIcon
0	0	13	1	1	0	0	0	1	(0) Default		测试技能					1	1			1				0				5
1	1	13	1	1	0	0	0	1	(1) TestSkill	测试技能	测试技能					1	1			1				0		0	0	
2	0	13	1	1	0	0	0	1	(2) 空雾峰_1号BOSS_欠债	欠债	测试技能					1										0		
3	0	13	1	1	0	0	0	1	(3) 空雾峰_1号BOSS_还钱	还钱	测试技能					1	1			1						0		
4	0	13	1	1	0	0	0	1	(4) 空雾峰_1号BOSS_金钱漫天	金钱漫天	测试技能					1										0		
5	2	6	1	1	0	0	0	1	(5) 击倒	击倒	移动状态测试技能。					1										0		
5	3	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1										0		
5	4	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1										0		
5	5	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1										0		
5	6	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1										0		
5	2504	13	1	1	0	0	0	1	(5) 击倒	测试技能	测试技能					1										0		
6	0	7	1	1	0	0	0	1	(6) 击退到	击退倒	移动状态测试技能。					1										0		
7	0	13	1	1	0	0	0	1	(7) 普通攻击	攻击	测试技能					1										0		
8	0	13	1	1	0	0	0	1	(8) 天工坊_2号BOSS_平三指_投掷火药_火药爆炸	火药溅伤	测试技能					1										0		
9	1	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高1%。					1										0		
9	2	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高2%。					1										0		
9	3	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高3%。					1										0		
9	4	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高4%。					1										0		
9	5	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高5%。					1										0		
9	6	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高6%。					1										0		
9	7	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高7%。					1										0		
9	8	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高8%。					1										0		
9	9	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高9%。					1										0		
9	10	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	基础疗伤成效提高10%。					1										0		
9	100	13	1	1	0	0	0	1	(9) 奇穴·任脉·十宣	任脉·十宣	该奇穴不受洗经伐脉影响，打通后永久保留。					1										0		
10	0	1486	1	1	0	0	0	10.2	(10) 横扫千军	横扫千军	对周围6尺内最多4个目标造成<SKILL PhysicsDamage>点外功伤害。	外功伤害：提高到<SKILL PhysicsDamage>点	江湖上流传的群攻战法。			1										0		
