SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	CommonUse	Remark	Name	Desc	ShortDesc	SpecialDesc	KungfuDesc	HelpDesc	IsShowInNewSkill	CanDrag	SkillRelyOnShow	SkillRelyOnNotShow	IsShowNotLearn	IsHotkeyExitWhenForget	Buff	Debuff	BlackList	SimpleDesc	AutoSelectTarget	Decoration	nInterruptIcon	nOTActionShowType
0	0	13	1	1	0	0	0	1		(0) Default		测试技能					1	1			1				0					
40	1										盾刀·悟																			
41	1										盾刀·悟																			
42	1										盾击·悟·贰式																			
43	1										盾击·悟·叁式																			
53	0										新建																			
7415	0										无量山任务_轰炸AOE																			
18648	0	106									麻布绷带	绷带																		
19564	0	10472									厉风	高速旋转在周围引发毒血旋风，五秒内每秒对周围敌人造成大量伤害并免疫一切控制效果。																		
19565	0	10472									厉风	高速旋转在周围引发毒血旋风，五秒内每秒对周围敌人造成大量伤害并免疫一切控制效果。																		
19578	0	10481									鬼斩	【必杀技】跳起劈向目标，对目标施加必死的毒神蛊，并对周围敌人造成伤害和2秒眩晕效果。																		
19579	0	10481									鬼斩	跳起劈向目标，对目标及其周围敌人造成伤害和2秒眩晕效果。																		
19584	0	10480									瞬闪	运用尸毒之力瞬间移动到目标地点。																		
19585	0	10480									瞬闪	运用尸毒之力瞬间移动到目标地点。																		
19635	0	10497									破邪清绝	高速旋转产生刀气，五秒内每秒对自身周围10尺5个敌对目标造成中量伤害并降低50%移动速度。																		
19642	0	10492									八卦卫灵	猛劈单个敌对目标，对其造成大量伤害且击退其周围6尺的3个目标。																		
26572	0	3449									下回分解	本章目标达成后，可传送到终点处。否则传送回起点。\n注疏泼墨，不等惊堂。																		
27055	0	3312									刺杀守卫_衣旎走路	指挥衣旎走动。																		
27844	0	2998									伪传·听风吹雪	平衡自身与友方目标气血值百分比后，再额外恢复双方气血最大值20%。\n·释放方式：25尺内选定友方目标																		
27846	0	2364									伪传·云栖松	恢复5%气血值，解除自身阳性、混元性、阴性、毒性不利效果各两个并使自身被命中概率降低60%，持续10秒。\n·释放方式：对自己释放																		
27847	0	2373									伪传·霞流宝石	立即对周围6尺内的最多10个目标均造成伤害并清除其阳性、混元性、阴性、毒性气劲各一个，并使其4秒内无法使用武器。\n·招式范围：自身半径内6尺																		
27850	0	2933									伪传·紫气东来	使自身外功和内功基础攻击力提高25%，\n会心几率提高25%，会心效果提高25%，持续10秒。\n·释放方式：对自己释放																		
27855	0	915									伪传·蝶弄足	使自身移动速度提高55%，持续15秒，清除自身所有移动限制（击倒除外）并使自身免疫控制效果（被拉除外），持续3秒。\n·释放方式：对自己释放																		
27857	0	7118									伪传·琴音共鸣	移除敌对目标身上2个增益效果，并添加给自身。\n·释放方式：20尺内选定目标																		
27862	0	622									伪传·梯云纵	当你处于战斗状态时，下一次跳跃能跳得更高，抗摔伤力提高，持续30秒；\n当处于非战斗状态时，可以连续跳跃，持续12秒。\n·释放方式：对自己释放																		
27863	0	3794									伪传·怖畏暗刑	使目标下马并使目标无法使用武器，持续4秒。该招式只可对玩家施展。\n·释放方式：4尺内选定目标																		
27869	0	4881									伪传·烟雨行	解除自身锁足和减速不利效果，快速冲向前方，施展过程中不受控制招式影响。\n·释放方式：对自己释放																		
27871	0	6340									伪传·盾立	保护自身不受伤害，2秒内反弹敌方对自身释放的所有招式的伤害及效果，该招式只对玩家生效。\n·释放方式：对自己释放																		
27872	0	6350									伪传·撼地	使用轻功腾空跳向目标区域，对半径5尺范围内最多5个目标造成眩晕和伤害。持续3秒。\n·释放方式：20尺内选定目标区域\n·招式范围：目标点半径内5尺																		
27874	0	12096									伪传·十方玄机	选择一个敌对玩家进行伪装，可以完全切换成其外观表现，并且自身与所有人成为友好势力，清除自身仇恨效果，免疫任何伤害，持续20秒。自身使用任何门派技能都会使伪装失效。\n·运功时间：3秒\n·释放方式：20尺内选定目标																		
27875	0	13875									伪传·斗转星移	立刻与敌对目标侠士交换位置（免疫被拉的目标除外）。\n·释放方式：25尺内选定目标																		
27878	0	12098									伪传·孤风飒踏	解除自身控制，投掷锁链至目标点，使自身冲向其位置。\n·释放方式：20尺内选定目标区域																		
27888	0	417									伪传·舍身诀	解除友方目标的受控效果（击倒除外），使其受到的伤害降低30%，并为队友目标承担100%伤害，持续10秒\n·释放方式：20尺内选定友方目标																		
27890	0	1509									伪传·抢珠式	打断目标运功，使其不能施展轻功以外的招式，持续4秒。\n·释放方式：8尺内选定目标																		
27892	0	11945									伪传·九霄风雷	使自身进入“机甲”状态，运功过程免疫控制和伤害，进入“机甲”状态可施展特殊招式，机甲状态持续20秒。\n·释放方式：对自己释放																		
27895	0	2830									伪传·化蝶	随风：跳跃一段距离。跳到空中后，消失在敌人视野中，并不受任何伤害，持续1秒。并向前冲刺一段距离。\n·释放方式：对自己释放																		
27902	0	8453									伪传·楚河汉界	在自身前方生成一道20尺刀气阻碍，敌方玩家目标无法穿越，持续4秒。																		
27903	0	8629									伪传·散流霞	解除受控效果，向前翻越10尺，使自身5秒内无法被敌人选中且移动速度提高20%，\n效果期间每秒回复2%气血最大值，主动施展技能将提前解除该效果。\n·释放方式：对自己释放																		
27904	0	10810									伪传·翔极碧落	凝气成雕，造成伤害，若其正在运功，则将运功打断并使其沉默4秒。\n·释放方式：20尺内选定目标																		
27905	0	10757									伪传·跃潮斩波	立即冲向目标释放一道掌法并造成伤害。\n·释放方式：25尺内选定目标																		
27906	0	12101									伪传·斩无常	可移动释放，挥舞武器进行持续旋转，每0.5秒对自身周围6尺内最多6个敌对目标造成伤害，\n过程中自身受到伤害降低50%，免疫控制且可以格挡远程弹道技能的伤害，持续4秒。降低伤害和格挡远程弹道技能的效果可以对自身6尺范围内的小队成员生效。\n·释放方式：以自身位置释放，释放过程可移动																		
27924	0	7233									伪传·蚀心蛊	使目标玩家不受控制，并随机攻击周围目标，作用期间目标移动速度提高50%，受到的伤害降低50%，持续6秒。若对队友施展，则持续时间减半。\n·释放方式：20尺内选定目标																		
27926	0	616									伪传·九转归一	对目标造成伤害，将其击退12尺，击退中的目标如果碰撞障碍则眩晕4秒。\n·释放方式：8尺内选定目标																		
27967	0	2375									伪传·风来吴山	发动旋风般的重剑攻击，5秒内对周围10尺内的最多10个目标造成共计8次伤害。\n在此过程中你无法跳跃，不受控制招式影响（被拉除外）。\n·运功时间：6秒\n·释放方式：以自身位置释放，可移动\n·招式范围：自身半径内10尺																		
27969	0	7052									伪传·孤影化双	解除自身控制效果并在自身位置创建残影保存自身技能调息时间、气血、内力状态，持续7秒。\n结束后解除自身所有受控状态并召唤影子附着自身，使自身技能调息时间、气血、内力状态恢复至记录时的状态。\n·释放方式：对自己释放																		
28031	0	3199									洱海飞爪																			
30023	0	421									伪传·锻骨诀	使你突破一切限制，解除自身控制效果，卸除自身所有内功不利效果、点穴效果、持续伤害不利效果。施展后不受招式控制和无法施展内功招式效果的影响，持续8秒。\n·释放方式：对自己释放																		
30024	0	652									伪传·守如山	使自身受到的伤害降低80%，持续8秒。\n·释放方式：对自己释放																		
30025	0	1452									伪传·转乾坤	使纯阳诀下所有招式瞬发，不受无法施展内功招式效果的影响，并且自身受到的伤害降低70%，持续8秒，同时解除所有控制效果，自身免疫控制（击退和被拉除外），持续4秒。\n·释放方式：对自己释放																		
30029	0	3195									伪传·惊鸿游龙	自身躲闪率提高65%，受到的内功伤害降低45%，持续10秒。\n·释放方式：对自己释放																		
30081	0	4179									伪传·极乐引	将自身周围10尺范围内最多6个敌对目标拉至身边，使其眩晕4秒。\n·招式范围：自身半径内10尺																		
30082	0	13864									伪传·踏星行	门派轻功，解除自身减速、锁足效果，使自身虚化浮空，被命中几率降低65%，移动速度提高30%，期间免疫控制且可自由漂浮，无法施展招式。\n·释放方式：对自己释放																		
30123	0	15405									伪传·凌然天风	凌空而起，免疫控制（击退和被拉除外），并使得自身身轻如燕，施展招式最大距离提高5尺，施展任意招式可以额外获得一次跳跃机会，且跳跃变为朝对应方向的一小段冲刺效果，持续8秒。“凌然天风”期间起跳及跳跃时自身免疫击退。\n·释放方式：对自己释放																		
30226	0	16213									伪传·心诤	持续舞棍3秒，过程免疫全部控制效果。持续左右交替挥舞手中棍棒六次，对6尺180度范围内最多5个目标造成中等伤害，每次造成伤害自身获得1层“讼言”，最多30层。每层“讼言”提高会心3%。舞棍结束后打出一次12尺范围终结扫击并消耗全部“讼言”。\n·释放方式：以自身位置释放，可移动\n·招式范围：前方6尺																		
