SkillName	SkillID	Design_Belong	Design_Effect	MaxLevel	KindType	FunctionType	UIType	BelongKungfu	BelongSchool	CastMode	WeaponRequest	IsCostAmmo	CostItemType	CostItemIndex	MountRequestType	MountRequestDetail	MountType	IsMountAble	IsPassiveSkill	IsChannelSkill	IsExpSkill	IsExactHit	IsInstinct	IsAutoTurn	CauseAbradeEquipment	CauseBeatBreak	CauseBeatBack	HasCriticalStrike	SkillEventMask1	SkillEventMask2	SkillCastFlag	UseCastScript	Use3DObstacle	CheckReachable	IgnorePositiveShield	IgnoreNegativeShield	NeedOutOfFight	SelfOnFear	SelfHorseStateRequest	TargetTypePlayer	TargetTypeNpc	TargetRelationNone	TargetRelationSelf	TargetRelationAlly	TargetRelationEnemy	TargetRelationDialog	TargetRelationNeutrality	TargetRelationParty	TargetRelationRaid	TargetHorseStateRequest	TargetOnFear	AutoSelectTarget	NPCWeaponType	CommonSkillActiveMode	IsBindCombatTag	EffectPlayType	ScriptFile	_ScriptFileHashID	EffectType	CheckBindBuff	MountRequestDetailLevel	CastMask	SelfMoveStateMask	TargetMoveStateMask	RecipeType	RecipeTagMask	MapBanMask	SkillMark	SelfBackupMoveStateMask	TargetRelationMentor	TargetRelationApprentice	KungfuMountID	HorseMask	PetTemplateID	TargetNpcSpeciesMask	SelfSprintStateRequest	SelfTerrainStateRequest	SelfFollowStateRequest	IgnoreCamp	TargetFollowStateRequest	IsCheckStealth	SelfMoveStateMask2	SelfBackupMoveStateMask2	TargetMoveStateMask2	Pos	CanReverse	CanCastOnTower	TargetRelationTeamGroup	TargetJumpCountMask	UseEarlyWarningScript	TargetFollowTypeRequest	IgnoreSilence	LongRange	AOE	AbradeEquipRate	UseSkillCoefficient	RangePutOpti	IgnoreSelectCheck	BelongDynamicGroupID	PlatformType	SkillCoefficient	DotCoefficient	SurplusCoefficient	NeedCheckSkillSlot
Default	0	测试技能1	直接伤害技能	1	Physics	Normal	0	10000	0	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	1	1	1	1	1	1	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0	0	0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	1	63	63	63	0		0	0	4294967295		Any	0			1024	1		0	0					
通用	100002	测试技能	直接伤害技能	1	Physics	Normal	1	0	30	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	1	1	1	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0		0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0			1024	1		0		2	160			
移动端_三环套月	100003	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	Column	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	1	0	1	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_三环套月.lua		Harmful	0	0	0	2214609150	2621341694		1	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	282	0	1081	1
移动端_扶摇	100004	测试技能	直接伤害技能	1	Leap	Fly	1	100002	30	CasterSingle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	65536	0	0	0	1	0	0	1	0	0	NotHorse	1	1	0	1	1	0	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	移动端-通用\通用\移动端_扶摇.lua		Beneficial	0	0	0	2147500046	2147500046	0		0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0				1		0		2	192			
移动端_蹑云逐月	100005	测试技能	直接伤害技能	1	Leap	Fly	1	100002	30	PointRectangle	0	0	Invalid	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	65536	0	0	0	0	0	0	1	0	0	NotHorse	1	1	0	1	1	0	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	移动端-通用\通用\移动端_蹑云逐月.lua		Beneficial	0	0	0	339345918	2214609150	0		0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	57	57	63	0		0	0			Any	0		1		1		0		2	192			
移动端_三环套月_贰式	100008	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	Column	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_三环套月_贰式.lua		Harmful	0	0	0	2214609150	2621341694		1	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1		1		0		2	328	0	1260	
移动端_太虚剑意_技能	100009	测试技能	直接伤害技能	1	Physics	Normal	1	0	3	TargetSingle	0	0	Invalid	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	NotHorse	1	1	0	1	1	1	0	0	1	0	Any	1	0	0	Invalid	0	AniAndSfx	Default.lua		Neutral	0	0	0	2214609150	2621341694	0		0	1	0	0	0	0	0	0	132606	NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0	4294967295		Any	0			1024	1		0		2	160			
移动端_无我无剑	100010	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	Column	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	1	0	0	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_无我无剑.lua		Harmful	0	0	0	2214609150	2621341694		1	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1	1024	1		0		2	279	0	1069	1
移动端_无我无剑_贰式	100011	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	Column	3	0	Invalid	0	3	100389	0	0	0	0	1	0	0	0	0	0	0	1	6	0	0	0	1	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_无我无剑_贰式.lua		Harmful	0	0	0	2214609150	2621341694		1	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0	1	0	0			Any	0		1		1		0		2	301	0	1155	
移动端_吞日月	100012	测试技能	直接伤害技能	10	Physics	Damage	1	100009	3	PointArea	3	0	Invalid	0	3	100389	0	0	0	0	1	1	0	0	1	0	0	1	6	0	0	0	0	0	1	0	0	0	NotHorse	1	1	0	0	0	1	0	0	0	0	Any	1	0	0	Invalid	1	AniAndSfx	纯阳\移动端_太虚剑意_技能\移动端_吞日月.lua		Harmful	0	0	0	2214609150	2621341694		68	0	1	0	0	0	0	0	0		NotInSprint	Any	NotInFollow	0	Any	0	63	63	63	0		0	0			Any	0		1	1024	1		0		2	188	0	0	1
