SkillID	Level	IconID	Show	CombatShow	Formation	FormationCaster	PracticeID	SortOrder	CommonUse	Remark	Name	Desc	ShortDesc	SpecialDesc	KungfuDesc	HelpDesc	IsShowInNewSkill	CanDrag	SkillRelyOnShow	SkillRelyOnNotShow	IsShowNotLearn	IsHotkeyExitWhenForget	Buff	Debuff	BlackList	SimpleDesc	AutoSelectTarget	Decoration	nInterruptIcon	nOTActionShowType
0	0	13	1	1	0	0	0	1		(0) Default		测试技能					1	1			1				0					
40	1										盾刀·悟																			
41	1										盾刀·悟																			
42	1										盾击·悟·贰式																			
43	1										盾击·悟·叁式																			
100003	0	0	0	0	0	0	0	1		(100003) 移动端_三环套月	三环套月·悟	1		剑锋三现，虚实难辨。			0	0			0	0				攻击技，对目标造成外功伤害。	0			
100004	1		0	0	0	0				(100004) 移动端_扶摇	扶摇直上·悟						0					0					0			
100005	1		0	0	0	0				(100005) 移动端_蹑云逐月	蹑云逐月·悟						0					0					0			
100008	0		0	0	0	0				(100008) 移动端_三环套月_贰式	三环套月·悟						0					0					0			
100009	0		0	0	0	0				(100009) 移动端_太虚剑意_技能	太虚剑意·悟						0					0					0			
100010	0	0	1	1	0	0	0	1		(100010) 移动端_无我无剑	无我无剑·悟	无我无剑				攻击技，对目标造成伤害	1	1			1	0			0		0			
100011	0		0	0	0	0				(100011) 移动端_无我无剑_贰式	无我无剑·悟						0					0					0			
100012	0		0	0	0	0				(100012) 移动端_吞日月	吞日月·悟						0					0					0			
100013	0		0	0	0	0				(100013) 移动端_人剑合一	人剑合一·悟						0					0					0			
100014	0		0	0	0	0				(100014) 移动端_八荒归元_贰式	八荒归元·悟						0					0					0			
100015	0		0	0	0	0				(100015) 移动端_行剑千风	行剑千风·悟						0					0					0			
100016	0		0	0	0	0				(100016) 移动端_惊天道	惊天道·悟						0					0					0			
100017	0		0	0	0	0				(100017) 移动端_碎星辰	碎星辰·悟						0					0					0			
100018	0		0	0	0	0				(100018) 移动端_紫气西迈	紫气西迈·悟						0					0					0			
100019	0		0	0	0	0				(100019) 移动端_万剑归宗	万剑归宗·悟						0					0					0			
100020	0		0	0	0	0				(100020) 移动端_八荒归元	八荒归元·悟						0					0					0			
100021	0		0	0	0	0				(100021) 移动端_吞日月_贰式	吞日月·悟						0					0					0			
100022	0		0	0	0	0				(100022) 移动端_坐忘离形	坐忘离形·悟						0					0					0			
100024	0	0	1	1	0	0	0	1		(100024) 移动端_傲血_穿云	穿云·悟	对目标造成100%的武器伤害外加<SUB 18207 0>外功伤害。	外加外功伤害：提高到<SKILL PhysicsDamage>点(+<SKILLEx {D0} {SkillPhysicsAP}>)。			攻击技	1	1			1	0			0	攻击技，对目标造成伤害并获得战意。	1			
100025	0		0	0	0	0				(100025) 移动端_傲血_雷行	雷行·悟						0					0					0			
100026	0		0	0	0	0				(100026) 移动端_傲血战意_技能	傲血战意·悟						0					0					0			
100027	0		0	0	0	0				(100027) 移动端_傲血_龙吟	龙吟·悟						0					0					0			
100028	0		0	0	0	0				(100028) 移动端_傲血_突	突·悟						0					0					0			
100029	0		0	0	0	0				(100029) 移动端_傲血_龙牙	龙牙·悟						0					0					0			
100030	0		0	0	0	0				(100030) 移动端_傲血_任驰骋	任驰骋·悟						0					0					0			
100031	0		0	0	0	0				(100031) 移动端_傲血_霹雳	霹雳·悟						0					0					0			
100032	0		0	0	0	0				(100032) 移动端_傲血_沧月	沧月·悟						0					0					0			
100033	0		0	0	0	0				(100033) 移动端_傲血_破坚阵	破坚阵·悟						0					0					0			
100034	0		0	0	0	0				(100034) 移动端_傲血_战八方	战八方·悟						0					0					0			
100035	0		0	0	0	0				(100035) 移动端_傲血_力破万钧	力破万钧·悟						0					0					0			
100036	0		0	0	0	0				(100036) 移动端_傲血_破重围	破重围·悟						0					0					0			
100037	0		0	0	0	0				(100037) 移动端_花间游_普攻	花间游·悟						0					0					0			
100038	0		0	0	0	0				(100038) 移动端_快雪时晴	快雪时晴·悟						0					0					0			
100039	0		0	0	0	0				(100039) 移动端_阳明指	阳明指·悟						0					0					0			
100041	0		0	0	0	0				(100041) 移动端_兰摧玉折	兰摧玉折·悟						0					0					0			
100043	0		0	0	0	0				(100043) 移动端_玉石俱焚	玉石俱焚·悟						0					0					0			
100044	0		0	0	0	0				(100044) 移动端_星楼月影	星楼月影·悟						0					0					0			
100045	0		0	0	0	0				(100045) 移动端_春泥护花	春泥护花·悟						0					0					0			
100046	0		0	0	0	0				(100046) 移动端_太阴指	太阴指·悟						0					0					0			
100047	0		0	0	0	0				(100047) 移动端_厥阴指	厥阴指·悟						0					0					0			
100048	0		0	0	0	0				(100048) 移动端_芙蓉并蒂	芙蓉并蒂·悟						0					0					0			
100049	0		0	0	0	0				(100049) 移动端_南风吐月	南风吐月·悟						0					0					0			
100050	0		0	0	0	0				(100050) 移动端_水月无间	水月无间·悟						0					0					0			
100051	0		0	0	0	0				(100051) 移动端_乱洒青荷	乱洒青荷·悟						0					0					0			
100053	0	425	0	0	0	0	0	1		(100053) 移动端_易筋经_心法	易筋经·悟	少林至高绝学，修炼同时调息五脏六腑，奇经八脉，使精神、形体和气息结合起来。					0	0			0	0					0			
100069	0	429	0	0	0	0	0	2		(100069) 移动端_洗髓经_心法	洗髓经·悟	少林绝学，为先天内功，运驭真气在体内循回而不息，洗清体内一切秽恶。					0	0			0	0					0			
100076	0		0	0	0	0				(100076) 移动端_太极无极	太极无极·悟						0					0					0			
100077	0		0	0	0	0				(100077) 移动端_四象轮回	四象轮回·悟						0					0					0			
100078	0		0	0	0	0				(100078) 移动端_紫霞功_技能	紫霞功·悟						0					0					0			
100079	0		0	0	0	0				(100079) 移动端_两仪化形	两仪化形·悟						0					0					0			
100080	0		0	0	0	0				(100080) 移动端_气破鸿蒙	气破鸿蒙·悟						0					0					0			
100081	0		0	0	0	0				(100081) 移动端_六合独尊	六合独尊·悟						0					0					0			
100082	0		0	0	0	0				(100082) 移动端_镇山河	镇山河·悟						0					0					0			
100084	0	894	1	1	0	0	0	1		(100084) 移动端_回雪飘摇	回雪飘摇·悟	需“名动四方”触发的剑舞状态，并需持续运功，3秒内每秒使友方目标气血值回复<SUB 6250 0>。<TALENT 5873 1 会心提高10%，会心效果提高10%><TALENT 5879 1 运功不会被打退，疗伤效果提高10%><TALENT 5887 1 目标身上每存在一个持续疗伤效果，疗伤效果提高25%><TALENT 5888 1 能够对目标周围8尺内的额外2个目标作用><TALENT 2732 3 会心几率提高6%><TALENT 18205 1 每0.8秒造成一次治疗成效，持续2.4秒><TALENT 5891 1 “回雪飘摇”每跳使“风袖低昂”调息时间降低1秒><TALENT 24980 1 连续施展“回雪飘摇”命中同一目标4次，自身回复<SUB 26751 1>气血值和10%的内力值，并使招式“王母挥袂”调息时间降低3秒>	气血值恢复：提高到<SUB 6250 0>。	半掩冰帘，绛唇鸣笛。		疗伤技，在一个友方目标受到中等的伤害且仍持续受伤时使用。	1	1			1	0				疗伤技，连续治疗目标。	0			
100086	0		0	0	0	0				(100086) 移动端_回雪飘摇_实际治疗	回雪飘摇·悟						0					0					0			
100087	0		0	0	0	0				(100087) 移动端_五方行尽	五方行尽·悟						0					0					0			
100093	0		0	0	0	0				(100093) 移动端_云裳心经_技能	云裳心经·悟						0					0					0			
100094	0		0	0	0	0				(100094) 移动端_翔鸾舞柳	翔鸾舞柳·悟						0					0					0			
100095	0		0	0	0	0				(100095) 移动端_上元点鬟	上元点鬟·悟						0					0					0			
100096	0		0	0	0	0				(100096) 移动端_风袖低昂	风袖低昂·悟						0					0					0			
100097	0		0	0	0	0				(100097) 移动端_天地低昂	天地低昂·悟						0					0					0			
100098	0		0	0	0	0				(100098) 移动端_雷霆震怒	雷霆震怒·悟						0					0					0			
100099	0		0	0	0	0				(100099) 移动端_婆罗门	婆罗门·悟						0					0					0			
100100	0		0	0	0	0				(100100) 移动端_鹊踏枝	鹊踏枝·悟						0					0					0			
100101	0		0	0	0	0				(100101) 移动端_王母挥袂	王母挥袂·悟						0					0					0			
100102	0		0	0	0	0				(100102) 移动端_九微飞花	九微飞花·悟						0					0					0			
100109	0		0	0	0	0				(100109) 移动端_离经易道_普攻	离经易道·悟						0					0					0			
100110	0		0	0	0	0				(100110) 移动端_握针	握针·悟						0					0					0			
100111	0		0	0	0	0				(100111) 移动端_清风垂露	清风垂露·悟						0					0					0			
100113	0		0	0	0	0				(100113) 移动端_提针	提针·悟						0					0					0			
100114	0		0	0	0	0				(100114) 移动端_长针	长针·悟						0					0					0			
100115	0		0	0	0	0				(100115) 移动端_星楼月影	星楼月影·悟						0					0					0			
