ID	Name	Useage	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync	InBirdMove	CanTransfer	InParkour	CostSingleStack	InSlideSprint	MorphInvalid	ValidByLevel	RLActions	Coexist	IsIntensityStackable
101	策划默认项(非程序默认行)	0	Normal	Body	0	101	0	Invalid	1	1	0	1	1	0	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	3758030846	0	0	0	0	Any	Any		0		0		63	1	0	1	0	1	Any		Any		Any					
103	打坐	11		Body	0	103	0		1	1	0	1	1	0	0	1	0		NotFight					0	0	1	atLifeReplenishPercent	33	0	atManaReplenishPercent	33	0	atExecuteScript	skill\江湖\防身武艺_打坐.lua	0	atLifeReplenish	5		atAddSprintPowerRevive	167		atLifeReplenish	30		atManaReplenish	30		atAddHorseSprintPowerRevive	167																																					256										0		56	1	0	1	0	1										
104	浮身	0		Trample	10001	104	0		1	1	0	1	1	80	0	1	0							0	0	1	atJumpSpeedBase	50	0																																																									4294967294										80		63	1	80	1	0	1										
104	浮身	0	Normal	Trample	10001	104	0	Invalid	2	1	0	1	1	80	0	1	0	None	Any	Any	Any	0		0	0	1	atJumpSpeedBase	50	0																																																								-1	4294967294		0			Any	Any				80		63	1	80	1	0	1	Any		Any		Any					
106	加速	13		Trample	30000	106	0		1	1	0	1	1	480	0	1	0							0	0	1	atMoveSpeedPercent	1024	0																																																									4294967294										480		63	1	480	1	0	1										
107	力量提升	0		Trample	10006	107	0		1	1	0	1	1	160	0	1	0							0	0	1	atStrengthBase	10	0	atSetEquipmentRecipe	644	1	atSetEquipmentRecipe	645	1	atSetEquipmentRecipe	639	1	atSetEquipmentRecipe	640	1	atSetEquipmentRecipe	641	1	atSetEquipmentRecipe	642	1																																							4294967294										160		63	1	160	1	0	1										
108	使NPC无法发现自己	0		Body	0	108	0		1	1	0	1	1	240	0	1	0							0	0	1	atIgnoreOtherAlarmRange																																																											4294967294										240		63	1	240	1	0	1										
109	调整NPC警戒范围	0		Body	0	109	0		1	1	0	1	1	240	0	1	0							0	0	1	atSelfAlarmRangeRevise	500	0																																																									4294967294										240		63	1	240	1	0	1										
110	修改NPC警戒范围	0		Body	0	110	0		1	1	0	1	1	240	0	1	0							0	0	1	atOtherAlarmRangeRevise	500	0																																																									4294967294										240		63	1	240	1	0	1										
112	清心静气	2		Body	0	112	5		1	65	0	1	1	28800	0	1	1							1	0	1	atMaxLifePercentAdd	15	0																																																									3758030846										28800		63	1	28800	1	1	1						1				
